payment_id,project_id,payment_date,amount,payment_type,agency,data_source
PAY-0006-4,MPLADS-SYN-0006,2026-10-03,288578,First Payment,Municipal Council,SYNTHETIC_PROTOTYPE
PAY-0007-1,MPLADS-SYN-0007,2026-06-03,392643,Running Bill,Municipal Corporation,SYNTHETIC_PROTOTYPE
PAY-0007-2,MPLADS-SYN-0007,2026-06-26,135783,Final Payment,Municipal Corporation,SYNTHETIC_PROTOTYPE
PAY-0007-3,MPLADS-SYN-0007,2026-12-16,384745,Milestone Payment,Municipal Corporation,SYNTHETIC_PROTOTYPE
PAY-0008-1,MPLADS-SYN-0008,2026-05-12,85319,First Payment,Municipal Council,SYNTHETIC_PROTOTYPE
PAY-0008-2,MPLADS-SYN-0008,2026-07-17,33978,Running Bill,Municipal Council,SYNTHETIC_PROTOTYPE
PAY-0008-3,MPLADS-SYN-0008,2026-07-03,47404,Milestone Payment,Municipal Council,SYNTHETIC_PROTOTYPE
PAY-0008-4,MPLADS-SYN-0008,2026-04-06,33684,Final Payment,Municipal Council,SYNTHETIC_PROTOTYPE
PAY-0008-5,MPLADS-SYN-0008,2026-04-04,70038,First Payment,Municipal Council,SYNTHETIC_PROTOTYPE
PAY-0009-1,MPLADS-SYN-0009,2026-09-26,443776,Milestone Payment,Education Department,SYNTHETIC_PROTOTYPE
PAY-0009-2,MPLADS-SYN-0009,2026-08-28,164205,Running Bill,Education Department,SYNTHETIC_PROTOTYPE
PAY-0009-3,MPLADS-SYN-0009,2026-08-02,515572,Running Bill,Education Department,SYNTHETIC_PROTOTYPE
PAY-0010-1,MPLADS-SYN-0010,2026-06-23,220498,Milestone Payment,Rural Development Agency,SYNTHETIC_PROTOTYPE
PAY-0010-2,MPLADS-SYN-0010,2026-05-27,373107,Milestone Payment,Rural Development Agency,SYNTHETIC_PROTOTYPE
PAY-0010-3,MPLADS-SYN-0010,2026-07-03,210263,Milestone Payment,Rural Development Agency,SYNTHETIC_PROTOTYPE
PAY-0010-4,MPLADS-SYN-0010,2026-06-18,131477,Running Bill,Rural Development Agency,SYNTHETIC_PROTOTYPE
PAY-0010-5,MPLADS-SYN-0010,2026-06-05,354180,Final Payment,Rural Development Agency,SYNTHETIC_PROTOTYPE
PAY-0011-1,MPLADS-SYN-0011,2026-08-26,47088,Final Payment,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0011-2,MPLADS-SYN-0011,2026-07-13,84082,Final Payment,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0011-3,MPLADS-SYN-0011,2026-10-09,168130,Running Bill,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0012-1,MPLADS-SYN-0012,2026-09-16,493401,Running Bill,Education Department,SYNTHETIC_PROTOTYPE
PAY-0012-2,MPLADS-SYN-0012,2026-09-24,545123,First Payment,Education Department,SYNTHETIC_PROTOTYPE
PAY-0012-3,MPLADS-SYN-0012,2026-09-02,346536,Final Payment,Education Department,SYNTHETIC_PROTOTYPE
PAY-0012-4,MPLADS-SYN-0012,2026-08-28,524003,First Payment,Education Department,SYNTHETIC_PROTOTYPE
PAY-0012-5,MPLADS-SYN-0012,2026-10-19,938937,Final Payment,Education Department,SYNTHETIC_PROTOTYPE
PAY-0013-1,MPLADS-SYN-0013,2027-01-09,418380,First Payment,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0013-2,MPLADS-SYN-0013,2026-11-10,150457,Running Bill,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0013-3,MPLADS-SYN-0013,2026-09-08,290482,First Payment,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0013-4,MPLADS-SYN-0013,2026-10-15,95304,Running Bill,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0013-5,MPLADS-SYN-0013,2026-11-17,322611,Milestone Payment,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0014-1,MPLADS-SYN-0014,2026-04-17,878226,Milestone Payment,Education Department,SYNTHETIC_PROTOTYPE
PAY-0014-2,MPLADS-SYN-0014,2026-04-03,1412774,First Payment,Education Department,SYNTHETIC_PROTOTYPE
PAY-0015-1,MPLADS-SYN-0015,2026-11-11,333177,Milestone Payment,Municipal Corporation,SYNTHETIC_PROTOTYPE
PAY-0015-2,MPLADS-SYN-0015,2026-08-14,124465,First Payment,Municipal Corporation,SYNTHETIC_PROTOTYPE
PAY-0015-3,MPLADS-SYN-0015,2026-10-06,88815,Running Bill,Municipal Corporation,SYNTHETIC_PROTOTYPE
PAY-0015-4,MPLADS-SYN-0015,2026-11-05,109264,Final Payment,Municipal Corporation,SYNTHETIC_PROTOTYPE
PAY-0015-5,MPLADS-SYN-0015,2026-09-07,181996,First Payment,Municipal Corporation,SYNTHETIC_PROTOTYPE
PAY-0016-1,MPLADS-SYN-0016,2026-07-08,355919,Milestone Payment,Public Works Department,SYNTHETIC_PROTOTYPE
PAY-0016-2,MPLADS-SYN-0016,2026-06-14,236626,Milestone Payment,Public Works Department,SYNTHETIC_PROTOTYPE
PAY-0016-3,MPLADS-SYN-0016,2026-04-18,166813,First Payment,Public Works Department,SYNTHETIC_PROTOTYPE
PAY-0016-4,MPLADS-SYN-0016,2026-04-08,522536,Milestone Payment,Public Works Department,SYNTHETIC_PROTOTYPE
PAY-0017-1,MPLADS-SYN-0017,2026-04-19,150290,First Payment,Public Works Department,SYNTHETIC_PROTOTYPE
PAY-0017-2,MPLADS-SYN-0017,2026-05-11,515466,First Payment,Public Works Department,SYNTHETIC_PROTOTYPE
PAY-0018-1,MPLADS-SYN-0018,2026-09-12,72302,First Payment,Public Works Department,SYNTHETIC_PROTOTYPE
PAY-0018-2,MPLADS-SYN-0018,2026-09-08,294496,First Payment,Public Works Department,SYNTHETIC_PROTOTYPE
PAY-0019-1,MPLADS-SYN-0019,2026-07-09,211670,First Payment,Municipal Council,SYNTHETIC_PROTOTYPE
PAY-0019-2,MPLADS-SYN-0019,2026-06-04,225390,Milestone Payment,Municipal Council,SYNTHETIC_PROTOTYPE
PAY-0019-3,MPLADS-SYN-0019,2026-05-23,49747,First Payment,Municipal Council,SYNTHETIC_PROTOTYPE
PAY-0019-4,MPLADS-SYN-0019,2026-05-28,119482,First Payment,Municipal Council,SYNTHETIC_PROTOTYPE
PAY-0019-5,MPLADS-SYN-0019,2026-05-16,146111,Final Payment,Municipal Council,SYNTHETIC_PROTOTYPE
PAY-0020-1,MPLADS-SYN-0020,2026-09-25,1394984,Milestone Payment,Rural Development Agency,SYNTHETIC_PROTOTYPE
PAY-0020-2,MPLADS-SYN-0020,2026-10-16,722538,Final Payment,Rural Development Agency,SYNTHETIC_PROTOTYPE
PAY-0020-3,MPLADS-SYN-0020,2026-12-06,651597,First Payment,Rural Development Agency,SYNTHETIC_PROTOTYPE
PAY-0020-4,MPLADS-SYN-0020,2027-01-12,146181,Running Bill,Rural Development Agency,SYNTHETIC_PROTOTYPE
PAY-0020-5,MPLADS-SYN-0020,2027-02-01,775163,Running Bill,Rural Development Agency,SYNTHETIC_PROTOTYPE
PAY-0021-1,MPLADS-SYN-0021,2026-11-17,230346,Final Payment,Rural Development Agency,SYNTHETIC_PROTOTYPE
PAY-0021-2,MPLADS-SYN-0021,2026-12-14,84188,Final Payment,Rural Development Agency,SYNTHETIC_PROTOTYPE
PAY-0021-3,MPLADS-SYN-0021,2026-10-16,71039,Running Bill,Rural Development Agency,SYNTHETIC_PROTOTYPE
PAY-0021-4,MPLADS-SYN-0021,2026-09-25,78552,Final Payment,Rural Development Agency,SYNTHETIC_PROTOTYPE
PAY-0021-5,MPLADS-SYN-0021,2026-09-23,98275,Final Payment,Rural Development Agency,SYNTHETIC_PROTOTYPE
PAY-0022-1,MPLADS-SYN-0022,2026-09-16,59501,Running Bill,Education Department,SYNTHETIC_PROTOTYPE
PAY-0022-2,MPLADS-SYN-0022,2026-08-22,210431,Final Payment,Education Department,SYNTHETIC_PROTOTYPE
PAY-0023-1,MPLADS-SYN-0023,2026-08-04,211882,First Payment,Rural Development Agency,SYNTHETIC_PROTOTYPE
PAY-0023-2,MPLADS-SYN-0023,2026-08-28,109580,Milestone Payment,Rural Development Agency,SYNTHETIC_PROTOTYPE
PAY-0023-3,MPLADS-SYN-0023,2026-09-07,95086,Milestone Payment,Rural Development Agency,SYNTHETIC_PROTOTYPE
PAY-0023-4,MPLADS-SYN-0023,2026-09-11,183204,Milestone Payment,Rural Development Agency,SYNTHETIC_PROTOTYPE
PAY-0024-1,MPLADS-SYN-0024,2026-02-22,316469,Milestone Payment,Municipal Corporation,SYNTHETIC_PROTOTYPE
PAY-0024-2,MPLADS-SYN-0024,2026-05-16,133812,Running Bill,Municipal Corporation,SYNTHETIC_PROTOTYPE
PAY-0024-3,MPLADS-SYN-0024,2026-06-17,85297,Milestone Payment,Municipal Corporation,SYNTHETIC_PROTOTYPE
PAY-0024-4,MPLADS-SYN-0024,2026-06-14,320422,Milestone Payment,Municipal Corporation,SYNTHETIC_PROTOTYPE
PAY-0025-1,MPLADS-SYN-0025,2026-04-06,185600,Final Payment,Rural Development Agency,SYNTHETIC_PROTOTYPE
PAY-0025-2,MPLADS-SYN-0025,2026-01-30,46872,First Payment,Rural Development Agency,SYNTHETIC_PROTOTYPE
PAY-0025-3,MPLADS-SYN-0025,2026-05-25,49828,First Payment,Rural Development Agency,SYNTHETIC_PROTOTYPE
PAY-0025-4,MPLADS-SYN-0025,2026-06-05,28067,Running Bill,Rural Development Agency,SYNTHETIC_PROTOTYPE
PAY-0025-5,MPLADS-SYN-0025,2026-04-28,128596,Final Payment,Rural Development Agency,SYNTHETIC_PROTOTYPE
PAY-0026-1,MPLADS-SYN-0026,2026-10-11,453759,First Payment,Municipal Council,SYNTHETIC_PROTOTYPE
PAY-0026-2,MPLADS-SYN-0026,2026-08-05,143872,Running Bill,Municipal Council,SYNTHETIC_PROTOTYPE
PAY-0026-3,MPLADS-SYN-0026,2026-06-13,727169,Running Bill,Municipal Council,SYNTHETIC_PROTOTYPE
PAY-0027-1,MPLADS-SYN-0027,2026-03-18,78750,First Payment,Zilla Parishad,SYNTHETIC_PROTOTYPE
PAY-0027-2,MPLADS-SYN-0027,2026-04-19,196987,Milestone Payment,Zilla Parishad,SYNTHETIC_PROTOTYPE
PAY-0028-1,MPLADS-SYN-0028,2026-04-07,777826,Final Payment,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0028-2,MPLADS-SYN-0028,2026-03-27,433587,Final Payment,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0028-3,MPLADS-SYN-0028,2026-03-19,180822,Milestone Payment,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0028-4,MPLADS-SYN-0028,2026-03-06,560994,Final Payment,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0029-1,MPLADS-SYN-0029,2026-09-06,374779,First Payment,Public Works Department,SYNTHETIC_PROTOTYPE
PAY-0029-2,MPLADS-SYN-0029,2026-08-26,751705,Milestone Payment,Public Works Department,SYNTHETIC_PROTOTYPE
PAY-0030-1,MPLADS-SYN-0030,2026-06-17,244758,First Payment,Municipal Corporation,SYNTHETIC_PROTOTYPE
PAY-0030-2,MPLADS-SYN-0030,2026-05-21,164223,Milestone Payment,Municipal Corporation,SYNTHETIC_PROTOTYPE
PAY-0030-3,MPLADS-SYN-0030,2026-09-21,170888,Final Payment,Municipal Corporation,SYNTHETIC_PROTOTYPE
PAY-0030-4,MPLADS-SYN-0030,2026-07-10,96299,First Payment,Municipal Corporation,SYNTHETIC_PROTOTYPE
PAY-0030-5,MPLADS-SYN-0030,2026-06-18,216280,Final Payment,Municipal Corporation,SYNTHETIC_PROTOTYPE
PAY-0031-1,MPLADS-SYN-0031,2026-09-05,187849,First Payment,Public Works Department,SYNTHETIC_PROTOTYPE
PAY-0031-2,MPLADS-SYN-0031,2026-08-06,266225,Final Payment,Public Works Department,SYNTHETIC_PROTOTYPE
PAY-0031-3,MPLADS-SYN-0031,2026-08-31,135477,First Payment,Public Works Department,SYNTHETIC_PROTOTYPE
PAY-0031-4,MPLADS-SYN-0031,2026-07-29,57200,Running Bill,Public Works Department,SYNTHETIC_PROTOTYPE
PAY-0031-5,MPLADS-SYN-0031,2026-09-09,146349,Final Payment,Public Works Department,SYNTHETIC_PROTOTYPE
PAY-0032-1,MPLADS-SYN-0032,2026-05-26,444783,Milestone Payment,Municipal Council,SYNTHETIC_PROTOTYPE
PAY-0032-2,MPLADS-SYN-0032,2026-07-15,1295488,Final Payment,Municipal Council,SYNTHETIC_PROTOTYPE
PAY-0033-1,MPLADS-SYN-0033,2026-10-15,209591,Final Payment,Rural Development Agency,SYNTHETIC_PROTOTYPE
PAY-0033-2,MPLADS-SYN-0033,2026-11-21,108249,First Payment,Rural Development Agency,SYNTHETIC_PROTOTYPE
PAY-0033-3,MPLADS-SYN-0033,2026-11-17,67636,Milestone Payment,Rural Development Agency,SYNTHETIC_PROTOTYPE
PAY-0033-4,MPLADS-SYN-0033,2026-09-04,107239,Milestone Payment,Rural Development Agency,SYNTHETIC_PROTOTYPE
PAY-0034-1,MPLADS-SYN-0034,2026-09-15,1190074,Final Payment,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0034-2,MPLADS-SYN-0034,2026-07-25,320438,Running Bill,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0034-3,MPLADS-SYN-0034,2026-07-09,1223088,Milestone Payment,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0035-1,MPLADS-SYN-0035,2026-05-30,351291,Milestone Payment,Education Department,SYNTHETIC_PROTOTYPE
PAY-0035-2,MPLADS-SYN-0035,2026-08-26,90875,Milestone Payment,Education Department,SYNTHETIC_PROTOTYPE
PAY-0035-3,MPLADS-SYN-0035,2026-09-13,457709,First Payment,Education Department,SYNTHETIC_PROTOTYPE
PAY-0036-1,MPLADS-SYN-0036,2026-10-09,360582,Final Payment,Rural Development Agency,SYNTHETIC_PROTOTYPE
PAY-0036-2,MPLADS-SYN-0036,2026-07-01,198828,First Payment,Rural Development Agency,SYNTHETIC_PROTOTYPE
PAY-0036-3,MPLADS-SYN-0036,2026-08-15,395390,Running Bill,Rural Development Agency,SYNTHETIC_PROTOTYPE
PAY-0037-1,MPLADS-SYN-0037,2026-06-19,63837,Milestone Payment,Rural Development Agency,SYNTHETIC_PROTOTYPE
PAY-0037-2,MPLADS-SYN-0037,2026-05-05,123533,Milestone Payment,Rural Development Agency,SYNTHETIC_PROTOTYPE
PAY-0038-1,MPLADS-SYN-0038,2026-09-16,171087,Running Bill,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0038-2,MPLADS-SYN-0038,2026-11-10,210283,First Payment,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0038-3,MPLADS-SYN-0038,2026-06-27,279187,Milestone Payment,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0038-4,MPLADS-SYN-0038,2026-05-05,402192,Milestone Payment,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0039-1,MPLADS-SYN-0039,2026-07-27,142559,First Payment,Education Department,SYNTHETIC_PROTOTYPE
PAY-0039-2,MPLADS-SYN-0039,2026-10-24,165471,Milestone Payment,Education Department,SYNTHETIC_PROTOTYPE
PAY-0039-3,MPLADS-SYN-0039,2026-08-22,92843,First Payment,Education Department,SYNTHETIC_PROTOTYPE
PAY-0039-4,MPLADS-SYN-0039,2026-12-15,41003,Final Payment,Education Department,SYNTHETIC_PROTOTYPE
PAY-0039-5,MPLADS-SYN-0039,2026-07-21,171636,Running Bill,Education Department,SYNTHETIC_PROTOTYPE
PAY-0040-1,MPLADS-SYN-0040,2026-05-04,177224,First Payment,Public Works Department,SYNTHETIC_PROTOTYPE
PAY-0040-2,MPLADS-SYN-0040,2026-03-12,103515,Milestone Payment,Public Works Department,SYNTHETIC_PROTOTYPE
PAY-0040-3,MPLADS-SYN-0040,2026-05-05,91260,Running Bill,Public Works Department,SYNTHETIC_PROTOTYPE
PAY-0040-4,MPLADS-SYN-0040,2026-03-21,133848,Running Bill,Public Works Department,SYNTHETIC_PROTOTYPE
PAY-0041-1,MPLADS-SYN-0041,2026-03-18,103032,Final Payment,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0041-2,MPLADS-SYN-0041,2026-02-27,50504,First Payment,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0041-3,MPLADS-SYN-0041,2026-03-24,117364,Milestone Payment,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0042-1,MPLADS-SYN-0042,2026-06-01,309650,Final Payment,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0042-2,MPLADS-SYN-0042,2026-10-08,132793,Final Payment,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0042-3,MPLADS-SYN-0042,2026-04-03,110394,First Payment,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0042-4,MPLADS-SYN-0042,2026-04-25,351063,Final Payment,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0043-1,MPLADS-SYN-0043,2026-10-16,169129,First Payment,Municipal Council,SYNTHETIC_PROTOTYPE
PAY-0043-2,MPLADS-SYN-0043,2026-10-03,42425,Final Payment,Municipal Council,SYNTHETIC_PROTOTYPE
PAY-0043-3,MPLADS-SYN-0043,2026-09-10,86789,Milestone Payment,Municipal Council,SYNTHETIC_PROTOTYPE
PAY-0043-4,MPLADS-SYN-0043,2026-09-19,18180,Final Payment,Municipal Council,SYNTHETIC_PROTOTYPE
PAY-0043-5,MPLADS-SYN-0043,2026-10-29,92277,Final Payment,Municipal Council,SYNTHETIC_PROTOTYPE
PAY-0044-1,MPLADS-SYN-0044,2026-11-28,77026,Final Payment,Education Department,SYNTHETIC_PROTOTYPE
PAY-0044-2,MPLADS-SYN-0044,2027-01-14,326021,Final Payment,Education Department,SYNTHETIC_PROTOTYPE
PAY-0045-1,MPLADS-SYN-0045,2027-02-23,214666,Running Bill,Rural Development Agency,SYNTHETIC_PROTOTYPE
PAY-0045-2,MPLADS-SYN-0045,2027-02-28,141924,First Payment,Rural Development Agency,SYNTHETIC_PROTOTYPE
PAY-0045-3,MPLADS-SYN-0045,2026-12-23,155021,Milestone Payment,Rural Development Agency,SYNTHETIC_PROTOTYPE
PAY-0045-4,MPLADS-SYN-0045,2026-12-16,163457,Running Bill,Rural Development Agency,SYNTHETIC_PROTOTYPE
PAY-0045-5,MPLADS-SYN-0045,2026-12-16,429567,Final Payment,Rural Development Agency,SYNTHETIC_PROTOTYPE
PAY-0046-1,MPLADS-SYN-0046,2026-12-31,800744,Milestone Payment,Municipal Corporation,SYNTHETIC_PROTOTYPE
PAY-0046-2,MPLADS-SYN-0046,2026-11-06,423800,Milestone Payment,Municipal Corporation,SYNTHETIC_PROTOTYPE
PAY-0046-3,MPLADS-SYN-0046,2026-09-28,1017987,Final Payment,Municipal Corporation,SYNTHETIC_PROTOTYPE
PAY-0047-1,MPLADS-SYN-0047,2026-09-04,92784,Running Bill,Public Works Department,SYNTHETIC_PROTOTYPE
PAY-0047-2,MPLADS-SYN-0047,2026-08-16,141324,Final Payment,Public Works Department,SYNTHETIC_PROTOTYPE
PAY-0047-3,MPLADS-SYN-0047,2026-09-30,378112,Running Bill,Public Works Department,SYNTHETIC_PROTOTYPE
PAY-0048-1,MPLADS-SYN-0048,2026-02-20,303783,Milestone Payment,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0048-2,MPLADS-SYN-0048,2026-05-20,230114,Milestone Payment,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0048-3,MPLADS-SYN-0048,2026-01-26,339149,Milestone Payment,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0048-4,MPLADS-SYN-0048,2026-04-08,588554,Running Bill,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0049-1,MPLADS-SYN-0049,2026-06-24,170173,Final Payment,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0049-2,MPLADS-SYN-0049,2026-08-24,121222,Final Payment,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0049-3,MPLADS-SYN-0049,2026-09-18,497399,Running Bill,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0050-1,MPLADS-SYN-0050,2026-06-25,170665,Milestone Payment,Public Works Department,SYNTHETIC_PROTOTYPE
PAY-0050-2,MPLADS-SYN-0050,2026-05-10,116262,First Payment,Public Works Department,SYNTHETIC_PROTOTYPE
PAY-0050-3,MPLADS-SYN-0050,2026-06-12,29138,First Payment,Public Works Department,SYNTHETIC_PROTOTYPE
PAY-0050-4,MPLADS-SYN-0050,2026-03-31,148984,First Payment,Public Works Department,SYNTHETIC_PROTOTYPE
PAY-0051-1,MPLADS-SYN-0051,2026-08-21,782618,Running Bill,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0051-2,MPLADS-SYN-0051,2026-08-11,502997,Milestone Payment,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0051-3,MPLADS-SYN-0051,2026-08-06,256607,First Payment,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0051-4,MPLADS-SYN-0051,2026-09-14,387256,First Payment,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0051-5,MPLADS-SYN-0051,2026-08-22,598522,Running Bill,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0052-1,MPLADS-SYN-0052,2026-12-10,369427,Final Payment,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0052-2,MPLADS-SYN-0052,2027-01-16,466973,Milestone Payment,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0053-1,MPLADS-SYN-0053,2026-05-04,575893,Milestone Payment,Municipal Council,SYNTHETIC_PROTOTYPE
PAY-0053-2,MPLADS-SYN-0053,2026-03-24,360981,Running Bill,Municipal Council,SYNTHETIC_PROTOTYPE
PAY-0053-3,MPLADS-SYN-0053,2026-04-16,464864,First Payment,Municipal Council,SYNTHETIC_PROTOTYPE
PAY-0054-1,MPLADS-SYN-0054,2027-01-24,333446,Final Payment,Municipal Corporation,SYNTHETIC_PROTOTYPE
PAY-0054-2,MPLADS-SYN-0054,2026-10-17,172187,Milestone Payment,Municipal Corporation,SYNTHETIC_PROTOTYPE
PAY-0054-3,MPLADS-SYN-0054,2027-01-20,120365,Running Bill,Municipal Corporation,SYNTHETIC_PROTOTYPE
PAY-0054-4,MPLADS-SYN-0054,2027-01-02,429234,Milestone Payment,Municipal Corporation,SYNTHETIC_PROTOTYPE
PAY-0055-1,MPLADS-SYN-0055,2026-01-28,433526,First Payment,Education Department,SYNTHETIC_PROTOTYPE
PAY-0055-2,MPLADS-SYN-0055,2026-02-22,251759,First Payment,Education Department,SYNTHETIC_PROTOTYPE
PAY-0055-3,MPLADS-SYN-0055,2026-03-14,87003,Milestone Payment,Education Department,SYNTHETIC_PROTOTYPE
PAY-0055-4,MPLADS-SYN-0055,2026-02-14,147359,First Payment,Education Department,SYNTHETIC_PROTOTYPE
PAY-0055-5,MPLADS-SYN-0055,2026-02-28,326889,Final Payment,Education Department,SYNTHETIC_PROTOTYPE
PAY-0056-1,MPLADS-SYN-0056,2027-01-06,366709,Milestone Payment,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0056-2,MPLADS-SYN-0056,2026-08-18,173273,First Payment,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0056-3,MPLADS-SYN-0056,2027-01-18,80701,Final Payment,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0056-4,MPLADS-SYN-0056,2026-08-13,66603,Milestone Payment,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0056-5,MPLADS-SYN-0056,2026-12-11,221314,First Payment,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0057-1,MPLADS-SYN-0057,2026-05-20,292454,First Payment,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0057-2,MPLADS-SYN-0057,2026-05-09,287646,Running Bill,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0057-3,MPLADS-SYN-0057,2026-04-12,169609,Milestone Payment,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0057-4,MPLADS-SYN-0057,2026-04-21,58180,Final Payment,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0057-5,MPLADS-SYN-0057,2026-05-12,238257,Milestone Payment,District Health Office,SYNTHETIC_PROTOTYPE
PAY-0058-1,MPLADS-SYN-0058,2026-04-15,188213,Running Bill,Public Works Department,SYNTHETIC_PROTOTYPE
PAY-0058-2,MPLADS-SYN-0058,2026-04-07,100526,Milestone Payment,Public Works Department,SYNTHETIC_PROTOTYPE
PAY-0058-3,MPLADS-SYN-0058,2026-04-13,136611,First Payment,Public Works Department,SYNTHETIC_PROTOTYPE
PAY-0058-4,MPLADS-SYN-0058,2026-03-29,357766,Milestone Payment,Public Works Department,SYNTHETIC_PROTOTYPE
