complaint_id,project_id,date,complaint_type,description,latitude,longitude,status,data_source
C-0088,MPLADS-SYN-0088,2026-11-18,Duplicate Work Concern,Work appears slow,17.803754,78.959614,Under Review,SYNTHETIC_PROTOTYPE
C-0094,MPLADS-SYN-0094,2026-06-28,Delay,Reported work not visible at site,12.927812,82.598456,Resolved,SYNTHETIC_PROTOTYPE
C-0100,MPLADS-SYN-0100,2026-05-09,Work Quality,Citizen requests verification,11.080325,74.59665,Open,SYNTHETIC_PROTOTYPE
C-0105,MPLADS-SYN-0105,2026-11-01,Work Quality,Reported work not visible at site,27.060335,81.485611,Under Review,SYNTHETIC_PROTOTYPE
C-0106,MPLADS-SYN-0106,2026-11-07,Delay,Citizen requests verification,27.415406,83.270533,Resolved,SYNTHETIC_PROTOTYPE
C-0107,MPLADS-SYN-0107,2026-05-05,Cost Concern,Quality requires inspection,22.069745,74.884492,Resolved,SYNTHETIC_PROTOTYPE
C-0109,MPLADS-SYN-0109,2026-08-27,Duplicate Work Concern,Citizen requests verification,17.993278,84.151418,Open,SYNTHETIC_PROTOTYPE
C-0110,MPLADS-SYN-0110,2026-09-09,Work Not Started,Citizen requests verification,20.671254,73.392355,Under Review,SYNTHETIC_PROTOTYPE
C-0113,MPLADS-SYN-0113,2026-05-03,Delay,Citizen requests verification,27.193167,74.615709,Open,SYNTHETIC_PROTOTYPE
C-0114,MPLADS-SYN-0114,2026-03-09,Duplicate Work Concern,Reported work not visible at site,28.12415,85.012548,Resolved,SYNTHETIC_PROTOTYPE
C-0120,MPLADS-SYN-0120,2026-05-07,Work Not Started,Citizen requests verification,16.816232,83.297505,Resolved,SYNTHETIC_PROTOTYPE
C-0122,MPLADS-SYN-0122,2026-04-20,Duplicate Work Concern,Reported work not visible at site,28.303863,87.577492,Resolved,SYNTHETIC_PROTOTYPE
C-0123,MPLADS-SYN-0123,2026-05-23,Work Not Started,Reported work not visible at site,22.906539,84.629644,Open,SYNTHETIC_PROTOTYPE
C-0125,MPLADS-SYN-0125,2026-05-12,Delay,Citizen requests verification,8.50993,79.486653,Under Review,SYNTHETIC_PROTOTYPE
C-0128,MPLADS-SYN-0128,2026-05-28,Work Not Started,Citizen requests verification,20.822843,73.946238,Open,SYNTHETIC_PROTOTYPE
C-0129,MPLADS-SYN-0129,2026-10-13,Delay,Citizen requests verification,25.121176,76.938658,Under Review,SYNTHETIC_PROTOTYPE
C-0130,MPLADS-SYN-0130,2026-06-09,Work Quality,Quality requires inspection,25.913323,77.120065,Resolved,SYNTHETIC_PROTOTYPE
C-0135,MPLADS-SYN-0135,2026-07-03,Duplicate Work Concern,Citizen requests verification,21.737175,74.214031,Under Review,SYNTHETIC_PROTOTYPE
C-0138,MPLADS-SYN-0138,2026-09-08,Work Not Started,Reported work not visible at site,17.728339,74.393014,Open,SYNTHETIC_PROTOTYPE
C-0140,MPLADS-SYN-0140,2026-08-18,Work Not Started,Citizen requests verification,12.477222,82.615142,Under Review,SYNTHETIC_PROTOTYPE
C-0143,MPLADS-SYN-0143,2026-04-29,Duplicate Work Concern,Quality requires inspection,24.635846,88.20741,Under Review,SYNTHETIC_PROTOTYPE
C-0150,MPLADS-SYN-0150,2026-07-07,Work Quality,Reported work not visible at site,15.624247,76.752553,Under Review,SYNTHETIC_PROTOTYPE
C-0153,MPLADS-SYN-0153,2026-04-26,Cost Concern,Work appears slow,13.934391,80.09411,Under Review,SYNTHETIC_PROTOTYPE
C-0159,MPLADS-SYN-0159,2026-08-16,Work Not Started,Citizen requests verification,9.974609,73.260679,Open,SYNTHETIC_PROTOTYPE
C-0161,MPLADS-SYN-0161,2026-08-29,Cost Concern,Reported work not visible at site,20.054277,88.266951,Resolved,SYNTHETIC_PROTOTYPE
C-0163,MPLADS-SYN-0163,2026-05-11,Cost Concern,Quality requires inspection,28.322196,78.964859,Under Review,SYNTHETIC_PROTOTYPE
C-0164,MPLADS-SYN-0164,2026-09-12,Delay,Work appears slow,24.521119,84.275972,Open,SYNTHETIC_PROTOTYPE
C-0166,MPLADS-SYN-0166,2026-04-16,Cost Concern,Citizen requests verification,27.258476,79.44818,Under Review,SYNTHETIC_PROTOTYPE
C-0169,MPLADS-SYN-0169,2026-08-08,Duplicate Work Concern,Reported work not visible at site,22.472573,79.20298,Resolved,SYNTHETIC_PROTOTYPE
C-0175,MPLADS-SYN-0175,2026-12-01,Delay,Quality requires inspection,16.002332,78.878678,Open,SYNTHETIC_PROTOTYPE
C-0177,MPLADS-SYN-0177,2026-12-11,Duplicate Work Concern,Reported work not visible at site,18.581985,83.256063,Open,SYNTHETIC_PROTOTYPE
C-0188,MPLADS-SYN-0188,2026-10-02,Duplicate Work Concern,Work appears slow,26.792459,78.226877,Under Review,SYNTHETIC_PROTOTYPE
C-0193,MPLADS-SYN-0193,2026-05-27,Work Not Started,Work appears slow,26.217969,81.425941,Resolved,SYNTHETIC_PROTOTYPE
C-0194,MPLADS-SYN-0194,2026-07-04,Work Quality,Citizen requests verification,23.275768,84.680315,Resolved,SYNTHETIC_PROTOTYPE
C-0196,MPLADS-SYN-0196,2026-04-14,Work Quality,Citizen requests verification,8.550102,75.281754,Open,SYNTHETIC_PROTOTYPE
C-0199,MPLADS-SYN-0199,2026-08-23,Work Quality,Reported work not visible at site,11.452793,83.076925,Open,SYNTHETIC_PROTOTYPE
C-0202,MPLADS-SYN-0202,2026-03-25,Work Quality,Work appears slow,13.912025,72.391135,Open,SYNTHETIC_PROTOTYPE
C-0204,MPLADS-SYN-0204,2026-04-18,Delay,Reported work not visible at site,15.67133,78.674984,Resolved,SYNTHETIC_PROTOTYPE
C-0211,MPLADS-SYN-0211,2026-05-11,Duplicate Work Concern,Reported work not visible at site,21.514399,86.000481,Open,SYNTHETIC_PROTOTYPE
C-0212,MPLADS-SYN-0212,2026-03-18,Delay,Work appears slow,11.680805,72.865747,Resolved,SYNTHETIC_PROTOTYPE
C-0213,MPLADS-SYN-0213,2026-07-26,Duplicate Work Concern,Citizen requests verification,14.668396,83.775666,Open,SYNTHETIC_PROTOTYPE
C-0216,MPLADS-SYN-0216,2026-08-24,Work Quality,Citizen requests verification,26.975805,74.898637,Resolved,SYNTHETIC_PROTOTYPE
C-0218,MPLADS-SYN-0218,2026-06-07,Work Not Started,Quality requires inspection,27.067652,84.602174,Resolved,SYNTHETIC_PROTOTYPE
C-0224,MPLADS-SYN-0224,2026-04-13,Work Quality,Quality requires inspection,24.285836,83.447964,Open,SYNTHETIC_PROTOTYPE
C-0225,MPLADS-SYN-0225,2026-07-14,Work Not Started,Reported work not visible at site,21.29756,82.440499,Under Review,SYNTHETIC_PROTOTYPE
C-0229,MPLADS-SYN-0229,2026-06-26,Work Quality,Work appears slow,22.214577,78.829978,Open,SYNTHETIC_PROTOTYPE
C-0230,MPLADS-SYN-0230,2026-09-26,Duplicate Work Concern,Quality requires inspection,15.737827,72.435614,Under Review,SYNTHETIC_PROTOTYPE
C-0235,MPLADS-SYN-0235,2026-08-22,Work Quality,Work appears slow,14.740584,77.235935,Under Review,SYNTHETIC_PROTOTYPE
C-0238,MPLADS-SYN-0238,2026-10-22,Work Quality,Quality requires inspection,20.787497,80.988742,Under Review,SYNTHETIC_PROTOTYPE
C-0242,MPLADS-SYN-0242,2026-12-02,Delay,Citizen requests verification,13.125579,75.263096,Resolved,SYNTHETIC_PROTOTYPE
C-0247,MPLADS-SYN-0247,2026-05-23,Delay,Work appears slow,21.292445,74.431209,Under Review,SYNTHETIC_PROTOTYPE
C-0249,MPLADS-SYN-0249,2026-07-26,Work Not Started,Citizen requests verification,25.487352,81.80092,Under Review,SYNTHETIC_PROTOTYPE
C-0250,MPLADS-SYN-0250,2026-09-09,Delay,Quality requires inspection,18.206898,76.030561,Under Review,SYNTHETIC_PROTOTYPE
C-0253,MPLADS-SYN-0253,2026-08-02,Work Not Started,Work appears slow,21.737846,79.636824,Open,SYNTHETIC_PROTOTYPE
C-0257,MPLADS-SYN-0257,2026-07-16,Cost Concern,Work appears slow,16.898569,80.719245,Resolved,SYNTHETIC_PROTOTYPE
C-0258,MPLADS-SYN-0258,2026-04-15,Duplicate Work Concern,Work appears slow,19.796345,86.077636,Open,SYNTHETIC_PROTOTYPE
C-0259,MPLADS-SYN-0259,2026-02-28,Cost Concern,Work appears slow,25.63499,83.250398,Open,SYNTHETIC_PROTOTYPE
C-0263,MPLADS-SYN-0263,2026-09-15,Delay,Work appears slow,23.702553,76.554835,Open,SYNTHETIC_PROTOTYPE
C-0266,MPLADS-SYN-0266,2026-03-17,Cost Concern,Quality requires inspection,28.294667,74.185033,Resolved,SYNTHETIC_PROTOTYPE
C-0267,MPLADS-SYN-0267,2026-10-09,Delay,Quality requires inspection,18.426772,81.70309,Open,SYNTHETIC_PROTOTYPE
C-0272,MPLADS-SYN-0272,2026-07-11,Delay,Work appears slow,19.33647,76.103779,Open,SYNTHETIC_PROTOTYPE
C-0275,MPLADS-SYN-0275,2026-11-12,Work Quality,Reported work not visible at site,8.189898,73.941442,Open,SYNTHETIC_PROTOTYPE
C-0277,MPLADS-SYN-0277,2026-06-28,Delay,Reported work not visible at site,11.0049,74.721285,Under Review,SYNTHETIC_PROTOTYPE
C-0278,MPLADS-SYN-0278,2026-04-07,Cost Concern,Citizen requests verification,15.091003,78.998068,Under Review,SYNTHETIC_PROTOTYPE
C-0279,MPLADS-SYN-0279,2026-05-31,Cost Concern,Work appears slow,26.330695,74.528964,Resolved,SYNTHETIC_PROTOTYPE
C-0280,MPLADS-SYN-0280,2026-07-24,Duplicate Work Concern,Quality requires inspection,25.139821,73.421912,Under Review,SYNTHETIC_PROTOTYPE
C-0288,MPLADS-SYN-0288,2026-10-10,Work Not Started,Citizen requests verification,8.102154,75.419167,Under Review,SYNTHETIC_PROTOTYPE
C-0290,MPLADS-SYN-0290,2026-08-05,Work Not Started,Reported work not visible at site,26.951948,74.590471,Resolved,SYNTHETIC_PROTOTYPE
C-0291,MPLADS-SYN-0291,2026-08-05,Work Not Started,Work appears slow,14.616709,76.83463,Resolved,SYNTHETIC_PROTOTYPE
C-0294,MPLADS-SYN-0294,2026-07-27,Duplicate Work Concern,Work appears slow,11.078697,82.040804,Resolved,SYNTHETIC_PROTOTYPE
C-0297,MPLADS-SYN-0297,2026-11-30,Delay,Citizen requests verification,12.310398,83.08736,Under Review,SYNTHETIC_PROTOTYPE
C-0300,MPLADS-SYN-0300,2026-06-05,Work Quality,Quality requires inspection,23.055602,81.326597,Open,SYNTHETIC_PROTOTYPE
C-0305,MPLADS-SYN-0305,2026-08-31,Delay,Reported work not visible at site,9.945096,78.661393,Resolved,SYNTHETIC_PROTOTYPE
C-0306,MPLADS-SYN-0306,2026-08-13,Delay,Quality requires inspection,13.386,79.257129,Under Review,SYNTHETIC_PROTOTYPE
C-0307,MPLADS-SYN-0307,2026-09-04,Duplicate Work Concern,Quality requires inspection,19.537937,80.755199,Resolved,SYNTHETIC_PROTOTYPE
C-0308,MPLADS-SYN-0308,2026-05-24,Duplicate Work Concern,Citizen requests verification,27.747441,76.559116,Resolved,SYNTHETIC_PROTOTYPE
C-0313,MPLADS-SYN-0313,2026-07-06,Duplicate Work Concern,Reported work not visible at site,19.906746,82.351379,Resolved,SYNTHETIC_PROTOTYPE
C-0315,MPLADS-SYN-0315,2026-03-20,Cost Concern,Reported work not visible at site,15.347554,73.973508,Under Review,SYNTHETIC_PROTOTYPE
C-0330,MPLADS-SYN-0330,2026-03-24,Cost Concern,Citizen requests verification,14.542611,77.91035,Under Review,SYNTHETIC_PROTOTYPE
C-0334,MPLADS-SYN-0334,2026-01-29,Work Not Started,Citizen requests verification,16.638651,78.081683,Resolved,SYNTHETIC_PROTOTYPE
C-0335,MPLADS-SYN-0335,2026-02-08,Work Not Started,Reported work not visible at site,22.629072,80.195743,Resolved,SYNTHETIC_PROTOTYPE
C-0338,MPLADS-SYN-0338,2026-04-30,Work Not Started,Reported work not visible at site,13.848572,88.283611,Open,SYNTHETIC_PROTOTYPE
C-0340,MPLADS-SYN-0340,2026-04-18,Work Quality,Citizen requests verification,18.015519,75.819726,Under Review,SYNTHETIC_PROTOTYPE
C-0341,MPLADS-SYN-0341,2026-05-03,Work Not Started,Quality requires inspection,25.056462,74.630141,Resolved,SYNTHETIC_PROTOTYPE
C-0343,MPLADS-SYN-0343,2026-04-11,Cost Concern,Reported work not visible at site,13.24399,79.812739,Resolved,SYNTHETIC_PROTOTYPE
C-0344,MPLADS-SYN-0344,2026-03-11,Work Quality,Quality requires inspection,18.594557,74.869992,Under Review,SYNTHETIC_PROTOTYPE
C-0349,MPLADS-SYN-0349,2026-08-09,Work Not Started,Citizen requests verification,11.554839,83.957743,Resolved,SYNTHETIC_PROTOTYPE
C-0354,MPLADS-SYN-0354,2026-07-31,Duplicate Work Concern,Work appears slow,26.345476,75.896714,Under Review,SYNTHETIC_PROTOTYPE
C-0355,MPLADS-SYN-0355,2026-04-05,Delay,Quality requires inspection,20.424588,72.695975,Under Review,SYNTHETIC_PROTOTYPE
C-0356,MPLADS-SYN-0356,2026-04-14,Duplicate Work Concern,Quality requires inspection,10.916883,86.858359,Under Review,SYNTHETIC_PROTOTYPE
C-0359,MPLADS-SYN-0359,2026-06-07,Cost Concern,Citizen requests verification,25.313921,75.612052,Under Review,SYNTHETIC_PROTOTYPE
C-0364,MPLADS-SYN-0364,2026-11-27,Work Not Started,Citizen requests verification,16.348459,82.347679,Resolved,SYNTHETIC_PROTOTYPE
C-0365,MPLADS-SYN-0365,2026-06-06,Delay,Work appears slow,11.635167,82.823956,Under Review,SYNTHETIC_PROTOTYPE
C-0368,MPLADS-SYN-0368,2026-11-06,Work Not Started,Work appears slow,14.147894,72.376091,Open,SYNTHETIC_PROTOTYPE
C-0369,MPLADS-SYN-0369,2026-10-10,Duplicate Work Concern,Citizen requests verification,16.321538,73.763811,Under Review,SYNTHETIC_PROTOTYPE
C-0373,MPLADS-SYN-0373,2026-04-16,Work Not Started,Quality requires inspection,11.05636,72.321871,Under Review,SYNTHETIC_PROTOTYPE
C-0375,MPLADS-SYN-0375,2026-08-31,Work Not Started,Quality requires inspection,11.369373,84.191589,Resolved,SYNTHETIC_PROTOTYPE
C-0377,MPLADS-SYN-0377,2026-07-21,Duplicate Work Concern,Work appears slow,25.596166,80.96985,Open,SYNTHETIC_PROTOTYPE
C-0378,MPLADS-SYN-0378,2026-07-01,Delay,Reported work not visible at site,27.53702,73.622353,Resolved,SYNTHETIC_PROTOTYPE
C-0386,MPLADS-SYN-0386,2026-04-16,Delay,Citizen requests verification,22.041737,73.19858,Open,SYNTHETIC_PROTOTYPE
C-0389,MPLADS-SYN-0389,2026-05-07,Work Not Started,Reported work not visible at site,14.998573,81.062256,Open,SYNTHETIC_PROTOTYPE
C-0390,MPLADS-SYN-0390,2026-10-25,Delay,Citizen requests verification,28.467723,73.925644,Resolved,SYNTHETIC_PROTOTYPE
C-0394,MPLADS-SYN-0394,2026-05-18,Work Quality,Quality requires inspection,8.59703,75.775624,Under Review,SYNTHETIC_PROTOTYPE
C-0398,MPLADS-SYN-0398,2026-06-03,Work Not Started,Quality requires inspection,23.1553,85.972703,Resolved,SYNTHETIC_PROTOTYPE
C-0400,MPLADS-SYN-0400,2026-08-06,Work Not Started,Citizen requests verification,27.677073,76.384747,Under Review,SYNTHETIC_PROTOTYPE
C-0403,MPLADS-SYN-0403,2026-05-17,Cost Concern,Reported work not visible at site,20.794539,72.974843,Under Review,SYNTHETIC_PROTOTYPE
C-0404,MPLADS-SYN-0404,2026-07-29,Duplicate Work Concern,Reported work not visible at site,24.742658,86.107032,Open,SYNTHETIC_PROTOTYPE
C-0410,MPLADS-SYN-0410,2026-07-22,Work Not Started,Quality requires inspection,8.556176,87.533593,Resolved,SYNTHETIC_PROTOTYPE
C-0411,MPLADS-SYN-0411,2026-09-02,Cost Concern,Reported work not visible at site,20.767983,78.119247,Open,SYNTHETIC_PROTOTYPE
C-0420,MPLADS-SYN-0420,2027-03-04,Cost Concern,Citizen requests verification,15.387815,87.775028,Under Review,SYNTHETIC_PROTOTYPE
C-0421,MPLADS-SYN-0421,2026-10-02,Work Not Started,Reported work not visible at site,19.038065,85.278171,Resolved,SYNTHETIC_PROTOTYPE
C-0423,MPLADS-SYN-0423,2026-10-06,Cost Concern,Reported work not visible at site,24.017242,85.28534,Open,SYNTHETIC_PROTOTYPE
C-0425,MPLADS-SYN-0425,2026-05-11,Work Not Started,Quality requires inspection,23.076634,86.593357,Under Review,SYNTHETIC_PROTOTYPE
C-0426,MPLADS-SYN-0426,2026-08-04,Work Quality,Quality requires inspection,23.666101,76.007799,Open,SYNTHETIC_PROTOTYPE
C-0427,MPLADS-SYN-0427,2027-02-13,Work Not Started,Reported work not visible at site,26.553136,85.900736,Resolved,SYNTHETIC_PROTOTYPE
C-0428,MPLADS-SYN-0428,2026-05-22,Work Quality,Reported work not visible at site,22.415024,85.81899,Resolved,SYNTHETIC_PROTOTYPE
C-0430,MPLADS-SYN-0430,2026-08-26,Work Not Started,Quality requires inspection,12.071863,84.756898,Resolved,SYNTHETIC_PROTOTYPE
C-0433,MPLADS-SYN-0433,2026-05-06,Work Not Started,Citizen requests verification,20.047837,79.413946,Open,SYNTHETIC_PROTOTYPE
C-0434,MPLADS-SYN-0434,2026-08-22,Cost Concern,Work appears slow,20.52428,86.641905,Resolved,SYNTHETIC_PROTOTYPE
C-0436,MPLADS-SYN-0436,2026-10-11,Duplicate Work Concern,Reported work not visible at site,23.01975,87.830721,Under Review,SYNTHETIC_PROTOTYPE
C-0439,MPLADS-SYN-0439,2026-10-07,Delay,Work appears slow,14.547944,77.564371,Resolved,SYNTHETIC_PROTOTYPE
C-0442,MPLADS-SYN-0442,2026-03-18,Work Quality,Reported work not visible at site,8.655405,72.655284,Resolved,SYNTHETIC_PROTOTYPE
C-0449,MPLADS-SYN-0449,2026-02-21,Delay,Quality requires inspection,20.664228,84.208553,Under Review,SYNTHETIC_PROTOTYPE
C-0450,MPLADS-SYN-0450,2027-02-02,Work Not Started,Work appears slow,24.349755,76.424885,Under Review,SYNTHETIC_PROTOTYPE
C-0452,MPLADS-SYN-0452,2026-11-28,Work Not Started,Citizen requests verification,11.20533,77.985216,Open,SYNTHETIC_PROTOTYPE
C-0453,MPLADS-SYN-0453,2027-01-07,Cost Concern,Work appears slow,28.17369,72.598706,Open,SYNTHETIC_PROTOTYPE
C-0454,MPLADS-SYN-0454,2026-10-20,Cost Concern,Citizen requests verification,15.655691,82.153009,Open,SYNTHETIC_PROTOTYPE
C-0459,MPLADS-SYN-0459,2026-09-19,Delay,Work appears slow,17.305536,72.599068,Under Review,SYNTHETIC_PROTOTYPE
C-0460,MPLADS-SYN-0460,2026-03-22,Work Not Started,Work appears slow,8.480231,77.759217,Under Review,SYNTHETIC_PROTOTYPE
C-0464,MPLADS-SYN-0464,2026-06-30,Work Not Started,Reported work not visible at site,16.065149,77.877574,Resolved,SYNTHETIC_PROTOTYPE
C-0466,MPLADS-SYN-0466,2026-09-22,Work Not Started,Work appears slow,17.193091,77.55648,Under Review,SYNTHETIC_PROTOTYPE
C-0467,MPLADS-SYN-0467,2026-06-13,Cost Concern,Citizen requests verification,12.443373,83.825233,Open,SYNTHETIC_PROTOTYPE
C-0468,MPLADS-SYN-0468,2026-09-14,Work Quality,Work appears slow,11.039272,80.343712,Resolved,SYNTHETIC_PROTOTYPE
C-0469,MPLADS-SYN-0469,2026-04-18,Work Not Started,Reported work not visible at site,17.935872,83.443986,Open,SYNTHETIC_PROTOTYPE
C-0474,MPLADS-SYN-0474,2026-02-24,Work Quality,Citizen requests verification,13.18487,75.577894,Resolved,SYNTHETIC_PROTOTYPE
C-0476,MPLADS-SYN-0476,2026-11-25,Duplicate Work Concern,Work appears slow,8.018245,73.228615,Open,SYNTHETIC_PROTOTYPE
C-0481,MPLADS-SYN-0481,2026-05-20,Delay,Quality requires inspection,15.03035,78.961923,Under Review,SYNTHETIC_PROTOTYPE
C-0484,MPLADS-SYN-0484,2026-09-09,Work Quality,Quality requires inspection,12.913658,82.631042,Resolved,SYNTHETIC_PROTOTYPE
C-0486,MPLADS-SYN-0486,2026-07-23,Duplicate Work Concern,Citizen requests verification,23.918744,76.90986,Resolved,SYNTHETIC_PROTOTYPE
C-0488,MPLADS-SYN-0488,2026-09-04,Work Quality,Quality requires inspection,14.417558,80.32475,Under Review,SYNTHETIC_PROTOTYPE
C-0491,MPLADS-SYN-0491,2026-05-01,Delay,Citizen requests verification,19.210671,74.232628,Resolved,SYNTHETIC_PROTOTYPE
C-0492,MPLADS-SYN-0492,2026-09-26,Work Quality,Work appears slow,22.491722,85.712932,Under Review,SYNTHETIC_PROTOTYPE
C-0497,MPLADS-SYN-0497,2026-07-26,Cost Concern,Quality requires inspection,12.401695,81.695363,Resolved,SYNTHETIC_PROTOTYPE
C-0501,MPLADS-SYN-0501,2026-03-09,Work Not Started,Reported work not visible at site,27.934148,80.497969,Under Review,SYNTHETIC_PROTOTYPE
C-0502,MPLADS-SYN-0502,2026-02-06,Delay,Reported work not visible at site,13.473909,82.62735,Resolved,SYNTHETIC_PROTOTYPE
C-0511,MPLADS-SYN-0511,2026-02-03,Work Not Started,Work appears slow,28.073623,87.758233,Resolved,SYNTHETIC_PROTOTYPE
C-0512,MPLADS-SYN-0512,2026-07-15,Duplicate Work Concern,Quality requires inspection,26.698781,78.940074,Open,SYNTHETIC_PROTOTYPE
C-0514,MPLADS-SYN-0514,2026-04-13,Cost Concern,Work appears slow,16.087197,80.714102,Under Review,SYNTHETIC_PROTOTYPE
C-0519,MPLADS-SYN-0519,2026-08-26,Cost Concern,Work appears slow,11.281362,81.447952,Under Review,SYNTHETIC_PROTOTYPE
C-0520,MPLADS-SYN-0520,2026-04-19,Delay,Work appears slow,11.401504,84.733097,Under Review,SYNTHETIC_PROTOTYPE
C-0525,MPLADS-SYN-0525,2026-07-11,Delay,Reported work not visible at site,25.005029,80.9357,Resolved,SYNTHETIC_PROTOTYPE
C-0526,MPLADS-SYN-0526,2026-03-22,Duplicate Work Concern,Work appears slow,9.785585,81.401612,Resolved,SYNTHETIC_PROTOTYPE
C-0536,MPLADS-SYN-0536,2026-05-13,Duplicate Work Concern,Reported work not visible at site,8.030593,87.501117,Open,SYNTHETIC_PROTOTYPE
C-0542,MPLADS-SYN-0542,2026-11-06,Work Quality,Work appears slow,15.866555,74.635821,Open,SYNTHETIC_PROTOTYPE
