bid_id,tender_id,project_id,contractor_id,bid_amount,submission_date,eligibility_status,technical_score,financial_rank,bid_status
BID-000037,TND-00008,MPLADS-SYN-0008,CON-004,473923.53,2026-02-27,Eligible,66.99,1,Not Selected
BID-000038,TND-00008,MPLADS-SYN-0008,CON-005,463963.89,2026-02-27,Ineligible,,,Ineligible
BID-000039,TND-00009,MPLADS-SYN-0009,CON-001,2610367.01,2026-07-03,Eligible,96.11,3,Not Selected
BID-000040,TND-00009,MPLADS-SYN-0009,CON-002,2164476.14,2026-07-03,Eligible,88.8,2,Not Selected
BID-000041,TND-00009,MPLADS-SYN-0009,CON-007,2071016.45,2026-07-03,Eligible,92.95,1,Selected
BID-000042,TND-00010,MPLADS-SYN-0010,CON-004,2202067.95,2026-03-29,Eligible,74.98,1,Not Selected
BID-000043,TND-00010,MPLADS-SYN-0010,CON-003,2527548.55,2026-03-29,Eligible,79.78,4,Not Selected
BID-000044,TND-00010,MPLADS-SYN-0010,CON-002,2243562.59,2026-03-29,Eligible,93.36,2,Not Selected
BID-000045,TND-00010,MPLADS-SYN-0010,CON-001,2123632.86,2026-03-29,Ineligible,,,Ineligible
BID-000046,TND-00010,MPLADS-SYN-0010,CON-006,2553581.35,2026-03-29,Eligible,81.19,5,Not Selected
BID-000047,TND-00010,MPLADS-SYN-0010,CON-007,2281143.79,2026-03-29,Eligible,67.21,3,Not Selected
BID-000048,TND-00011,MPLADS-SYN-0011,CON-004,746416.41,2026-05-16,Eligible,91.54,4,Under Evaluation
BID-000049,TND-00011,MPLADS-SYN-0011,CON-007,702934.9,2026-05-16,Eligible,89.59,3,Submitted
BID-000050,TND-00011,MPLADS-SYN-0011,CON-006,791656.25,2026-05-16,Eligible,75.72,6,Under Evaluation
BID-000051,TND-00011,MPLADS-SYN-0011,CON-003,702786.67,2026-05-16,Eligible,82.43,2,Under Evaluation
BID-000052,TND-00011,MPLADS-SYN-0011,CON-002,750555.78,2026-05-16,Eligible,63.43,5,Under Evaluation
BID-000053,TND-00011,MPLADS-SYN-0011,CON-001,679643.65,2026-05-16,Eligible,87.86,1,Not Selected
BID-000054,TND-00012,MPLADS-SYN-0012,CON-001,3142652.08,2026-05-30,Eligible,66.16,4,Not Selected
BID-000055,TND-00012,MPLADS-SYN-0012,CON-005,2809101.34,2026-05-30,Eligible,75.94,2,Not Selected
BID-000056,TND-00012,MPLADS-SYN-0012,CON-006,2939793.26,2026-05-30,Ineligible,,,Ineligible
BID-000057,TND-00012,MPLADS-SYN-0012,CON-007,2923358.58,2026-05-30,Eligible,64.47,3,Not Selected
BID-000058,TND-00012,MPLADS-SYN-0012,CON-002,2798770.04,2026-05-30,Eligible,60.13,1,Not Selected
BID-000059,TND-00012,MPLADS-SYN-0012,CON-004,3301076.18,2026-05-30,Eligible,77.43,5,Not Selected
BID-000060,TND-00012,MPLADS-SYN-0012,CON-003,3372413.26,2026-05-30,Eligible,83.1,6,Not Selected
BID-000061,TND-00013,MPLADS-SYN-0013,CON-004,3073871.2,2026-07-06,Eligible,65.63,6,Submitted
BID-000062,TND-00013,MPLADS-SYN-0013,CON-002,2948758.93,2026-07-06,Eligible,92.45,3,Submitted
BID-000063,TND-00013,MPLADS-SYN-0013,CON-005,2958739.98,2026-07-06,Eligible,94.97,4,Under Evaluation
BID-000064,TND-00013,MPLADS-SYN-0013,CON-001,2509170.32,2026-07-06,Ineligible,,,Submitted
BID-000065,TND-00013,MPLADS-SYN-0013,CON-003,2590871.38,2026-07-06,Eligible,85.12,1,Not Selected
BID-000066,TND-00013,MPLADS-SYN-0013,CON-006,2982638.56,2026-07-06,Eligible,88.47,5,Under Evaluation
BID-000067,TND-00013,MPLADS-SYN-0013,CON-007,2735537.24,2026-07-06,Eligible,89.2,2,Submitted
BID-000068,TND-00014,MPLADS-SYN-0014,CON-003,2589054.79,2026-02-11,Eligible,80.03,1,Under Evaluation
BID-000069,TND-00014,MPLADS-SYN-0014,CON-007,2874803.35,2026-02-11,Eligible,62.21,3,Not Selected
BID-000070,TND-00014,MPLADS-SYN-0014,CON-006,2909026.38,2026-02-11,Eligible,87.51,4,Under Evaluation
BID-000071,TND-00014,MPLADS-SYN-0014,CON-001,2933499.9,2026-02-11,Eligible,83.14,5,Under Evaluation
BID-000072,TND-00014,MPLADS-SYN-0014,CON-004,2722327.87,2026-02-11,Eligible,83.34,2,Submitted
BID-000073,TND-00015,MPLADS-SYN-0015,CON-004,1417462.54,2026-05-21,Eligible,60.06,3,Selected
BID-000074,TND-00015,MPLADS-SYN-0015,CON-006,1181275.45,2026-05-21,Eligible,88.02,1,Not Selected
BID-000075,TND-00015,MPLADS-SYN-0015,CON-005,1244529.14,2026-05-21,Ineligible,,,Ineligible
BID-000076,TND-00015,MPLADS-SYN-0015,CON-002,1315844.19,2026-05-21,Eligible,73.29,2,Not Selected
BID-000077,TND-00016,MPLADS-SYN-0016,CON-006,1876600.47,2026-01-20,Eligible,91.62,4,Not Selected
BID-000078,TND-00016,MPLADS-SYN-0016,CON-002,1635277.09,2026-01-20,Eligible,95.05,1,Not Selected
BID-000079,TND-00016,MPLADS-SYN-0016,CON-005,1764994.26,2026-01-20,Ineligible,,,Ineligible
BID-000080,TND-00016,MPLADS-SYN-0016,CON-001,1909750.74,2026-01-20,Eligible,78.3,5,Not Selected
BID-000081,TND-00016,MPLADS-SYN-0016,CON-003,1832376.22,2026-01-20,Eligible,77.57,3,Not Selected
BID-000082,TND-00016,MPLADS-SYN-0016,CON-007,1917445.81,2026-01-20,Eligible,91.73,6,Not Selected
BID-000083,TND-00016,MPLADS-SYN-0016,CON-004,1683201.4,2026-01-20,Eligible,81.1,2,Not Selected
BID-000084,TND-00017,MPLADS-SYN-0017,CON-001,979576.31,2026-03-09,Eligible,96.85,2,Submitted
BID-000085,TND-00017,MPLADS-SYN-0017,CON-005,966120.76,2026-03-09,Eligible,97.38,1,Under Evaluation
BID-000086,TND-00018,MPLADS-SYN-0018,CON-005,565737.54,2026-07-18,Eligible,68.21,4,Not Selected
BID-000087,TND-00018,MPLADS-SYN-0018,CON-006,555347.74,2026-07-18,Eligible,74.22,3,Not Selected
BID-000088,TND-00018,MPLADS-SYN-0018,CON-004,515609.26,2026-07-18,Eligible,94.71,1,Not Selected
BID-000089,TND-00018,MPLADS-SYN-0018,CON-003,576566.11,2026-07-18,Eligible,90.36,5,Not Selected
BID-000090,TND-00018,MPLADS-SYN-0018,CON-007,645743.37,2026-07-18,Eligible,67.23,6,Not Selected
BID-000091,TND-00018,MPLADS-SYN-0018,CON-001,648545.52,2026-07-18,Eligible,89.47,7,Not Selected
BID-000092,TND-00018,MPLADS-SYN-0018,CON-002,531494.26,2026-07-18,Eligible,91.24,2,Selected
BID-000093,TND-00019,MPLADS-SYN-0019,CON-007,997566.77,2026-03-19,Eligible,71.82,5,Submitted
BID-000094,TND-00019,MPLADS-SYN-0019,CON-005,835177.27,2026-03-19,Eligible,77.74,1,Under Evaluation
BID-000095,TND-00019,MPLADS-SYN-0019,CON-001,835688.89,2026-03-19,Eligible,81.95,2,Submitted
BID-000096,TND-00019,MPLADS-SYN-0019,CON-006,900194.65,2026-03-19,Eligible,67.62,4,Under Evaluation
BID-000097,TND-00019,MPLADS-SYN-0019,CON-004,893992.59,2026-03-19,Eligible,85.5,3,Under Evaluation
BID-000098,TND-00020,MPLADS-SYN-0020,CON-002,4571853.09,2026-07-11,Eligible,62.71,3,Submitted
BID-000099,TND-00020,MPLADS-SYN-0020,CON-001,4364423.39,2026-07-11,Eligible,76.86,2,Not Selected
BID-000100,TND-00020,MPLADS-SYN-0020,CON-007,3838955.48,2026-07-11,Ineligible,,,Not Selected
BID-000101,TND-00020,MPLADS-SYN-0020,CON-004,3752370.91,2026-07-11,Ineligible,,,Submitted
BID-000102,TND-00020,MPLADS-SYN-0020,CON-005,3791155.04,2026-07-11,Ineligible,,,Submitted
BID-000103,TND-00020,MPLADS-SYN-0020,CON-003,4463836.88,2026-07-11,Ineligible,,,Not Selected
BID-000104,TND-00020,MPLADS-SYN-0020,CON-006,4084241.44,2026-07-11,Eligible,87.09,1,Submitted
BID-000105,TND-00021,MPLADS-SYN-0021,CON-005,1309843.57,2026-07-02,Ineligible,,,Submitted
BID-000106,TND-00021,MPLADS-SYN-0021,CON-004,1445844.06,2026-07-02,Ineligible,,,Under Evaluation
BID-000107,TND-00021,MPLADS-SYN-0021,CON-007,1361885.33,2026-07-02,Eligible,92.72,1,Submitted
BID-000108,TND-00021,MPLADS-SYN-0021,CON-006,1506353.28,2026-07-02,Eligible,66.97,2,Under Evaluation
BID-000109,TND-00021,MPLADS-SYN-0021,CON-002,1618974.16,2026-07-02,Eligible,77.22,3,Under Evaluation
BID-000110,TND-00022,MPLADS-SYN-0022,CON-001,515434.62,2026-07-27,Eligible,63.91,2,Not Selected
BID-000111,TND-00022,MPLADS-SYN-0022,CON-004,579913.52,2026-07-27,Eligible,81.13,4,Under Evaluation
BID-000112,TND-00022,MPLADS-SYN-0022,CON-003,477252.05,2026-07-27,Eligible,77.52,1,Not Selected
BID-000113,TND-00022,MPLADS-SYN-0022,CON-002,548698.69,2026-07-27,Eligible,69.26,3,Not Selected
BID-000114,TND-00022,MPLADS-SYN-0022,CON-007,489365.29,2026-07-27,Ineligible,,,Under Evaluation
BID-000115,TND-00023,MPLADS-SYN-0023,CON-001,1197233.91,2026-06-12,Ineligible,,,Not Selected
BID-000116,TND-00023,MPLADS-SYN-0023,CON-002,1308539.62,2026-06-12,Eligible,85.18,1,Submitted
BID-000117,TND-00023,MPLADS-SYN-0023,CON-005,1086842.0,2026-06-12,Ineligible,,,Submitted
BID-000118,TND-00024,MPLADS-SYN-0024,CON-005,2199042.55,2025-12-26,Ineligible,,,Ineligible
BID-000119,TND-00024,MPLADS-SYN-0024,CON-004,2050074.53,2025-12-26,Eligible,63.44,1,Not Selected
BID-000120,TND-00024,MPLADS-SYN-0024,CON-006,2319368.47,2025-12-26,Eligible,88.77,3,Not Selected
BID-000121,TND-00024,MPLADS-SYN-0024,CON-002,2233484.77,2025-12-26,Eligible,80.19,2,Selected
BID-000122,TND-00024,MPLADS-SYN-0024,CON-001,2084490.46,2025-12-26,Ineligible,,,Ineligible
BID-000123,TND-00025,MPLADS-SYN-0025,CON-002,690256.4,2026-01-14,Eligible,97.63,5,Not Selected
BID-000124,TND-00025,MPLADS-SYN-0025,CON-005,627279.5,2026-01-14,Ineligible,,,Ineligible
BID-000125,TND-00025,MPLADS-SYN-0025,CON-003,669002.79,2026-01-14,Eligible,62.37,3,Not Selected
BID-000126,TND-00025,MPLADS-SYN-0025,CON-004,677419.42,2026-01-14,Eligible,60.03,4,Not Selected
BID-000127,TND-00025,MPLADS-SYN-0025,CON-007,623704.77,2026-01-14,Eligible,64.17,2,Not Selected
BID-000128,TND-00025,MPLADS-SYN-0025,CON-006,579947.96,2026-01-14,Eligible,68.94,1,Not Selected
BID-000129,TND-00026,MPLADS-SYN-0026,CON-005,1185588.07,2026-04-17,Ineligible,,,Ineligible
BID-000130,TND-00026,MPLADS-SYN-0026,CON-003,1421514.77,2026-04-17,Eligible,91.92,3,Selected
BID-000131,TND-00026,MPLADS-SYN-0026,CON-002,1190679.54,2026-04-17,Eligible,65.1,2,Not Selected
BID-000132,TND-00026,MPLADS-SYN-0026,CON-006,1163034.91,2026-04-17,Eligible,65.47,1,Not Selected
BID-000133,TND-00026,MPLADS-SYN-0026,CON-004,1435437.71,2026-04-17,Ineligible,,,Ineligible
BID-000134,TND-00027,MPLADS-SYN-0027,CON-007,945463.39,2026-02-19,Eligible,79.36,2,Selected
BID-000135,TND-00027,MPLADS-SYN-0027,CON-001,928731.76,2026-02-19,Ineligible,,,Ineligible
BID-000136,TND-00027,MPLADS-SYN-0027,CON-006,889407.96,2026-02-19,Eligible,67.06,1,Not Selected
BID-000137,TND-00027,MPLADS-SYN-0027,CON-005,941074.72,2026-02-19,Ineligible,,,Ineligible
BID-000138,TND-00027,MPLADS-SYN-0027,CON-004,997998.91,2026-02-19,Eligible,87.06,3,Not Selected
BID-000139,TND-00028,MPLADS-SYN-0028,CON-002,2266084.84,2026-01-19,Eligible,81.59,1,Not Selected
BID-000140,TND-00028,MPLADS-SYN-0028,CON-007,2709222.48,2026-01-19,Eligible,82.05,2,Not Selected
BID-000141,TND-00028,MPLADS-SYN-0028,CON-005,2878746.91,2026-01-19,Eligible,65.4,3,Selected
BID-000142,TND-00029,MPLADS-SYN-0029,CON-006,1826073.17,2026-06-16,Eligible,69.32,1,Not Selected
BID-000143,TND-00029,MPLADS-SYN-0029,CON-007,2116098.0,2026-06-16,Eligible,85.99,3,Not Selected
BID-000144,TND-00029,MPLADS-SYN-0029,CON-004,2068078.54,2026-06-16,Eligible,83.3,2,Not Selected
BID-000145,TND-00029,MPLADS-SYN-0029,CON-005,2259382.27,2026-06-16,Eligible,77.82,4,Not Selected
BID-000146,TND-00030,MPLADS-SYN-0030,CON-004,972574.65,2026-04-20,Eligible,87.62,6,Not Selected
BID-000147,TND-00030,MPLADS-SYN-0030,CON-006,941380.24,2026-04-20,Eligible,83.91,4,Selected
BID-000148,TND-00030,MPLADS-SYN-0030,CON-003,944808.51,2026-04-20,Eligible,84.94,5,Not Selected
BID-000149,TND-00030,MPLADS-SYN-0030,CON-007,876791.39,2026-04-20,Eligible,70.9,3,Not Selected
BID-000150,TND-00030,MPLADS-SYN-0030,CON-002,827096.16,2026-04-20,Eligible,92.35,1,Not Selected
BID-000151,TND-00030,MPLADS-SYN-0030,CON-001,873489.09,2026-04-20,Eligible,83.4,2,Not Selected
BID-000152,TND-00031,MPLADS-SYN-0031,CON-002,920463.07,2026-06-29,Eligible,85.05,1,Not Selected
BID-000153,TND-00031,MPLADS-SYN-0031,CON-006,970714.96,2026-06-29,Eligible,69.93,2,Selected
BID-000154,TND-00031,MPLADS-SYN-0031,CON-005,1055949.53,2026-06-29,Ineligible,,,Ineligible
BID-000155,TND-00032,MPLADS-SYN-0032,CON-002,1716545.26,2026-03-26,Eligible,96.76,1,Not Selected
BID-000156,TND-00032,MPLADS-SYN-0032,CON-004,1997772.05,2026-03-26,Eligible,91.83,2,Not Selected
BID-000157,TND-00033,MPLADS-SYN-0033,CON-006,752994.83,2026-07-11,Eligible,81.95,1,Submitted
BID-000158,TND-00033,MPLADS-SYN-0033,CON-003,774134.53,2026-07-11,Eligible,70.05,3,Not Selected
BID-000159,TND-00033,MPLADS-SYN-0033,CON-004,770064.41,2026-07-11,Eligible,77.63,2,Submitted
BID-000160,TND-00034,MPLADS-SYN-0034,CON-004,4085079.77,2026-05-01,Ineligible,,,Under Evaluation
BID-000161,TND-00034,MPLADS-SYN-0034,CON-007,3527424.08,2026-05-01,Ineligible,,,Submitted
BID-000162,TND-00034,MPLADS-SYN-0034,CON-002,3670348.26,2026-05-01,Ineligible,,,Under Evaluation
BID-000163,TND-00034,MPLADS-SYN-0034,CON-006,4058100.94,2026-05-01,Eligible,94.87,1,Submitted
BID-000164,TND-00035,MPLADS-SYN-0035,CON-005,1447299.87,2026-04-11,Eligible,69.7,1,Submitted
BID-000165,TND-00035,MPLADS-SYN-0035,CON-007,1543868.52,2026-04-11,Ineligible,,,Not Selected
BID-000166,TND-00035,MPLADS-SYN-0035,CON-004,1607772.73,2026-04-11,Eligible,72.82,3,Not Selected
BID-000167,TND-00035,MPLADS-SYN-0035,CON-003,1584982.85,2026-04-11,Eligible,80.81,2,Under Evaluation
BID-000168,TND-00036,MPLADS-SYN-0036,CON-005,1944634.68,2026-06-10,Eligible,60.9,2,Not Selected
BID-000169,TND-00036,MPLADS-SYN-0036,CON-006,1859458.73,2026-06-10,Eligible,96.12,1,Not Selected
BID-000170,TND-00036,MPLADS-SYN-0036,CON-001,2150279.14,2026-06-10,Eligible,63.28,3,Selected
BID-000171,TND-00036,MPLADS-SYN-0036,CON-004,2132495.18,2026-06-10,Ineligible,,,Ineligible
BID-000172,TND-00036,MPLADS-SYN-0036,CON-002,2160030.14,2026-06-10,Eligible,94.05,4,Not Selected
BID-000173,TND-00036,MPLADS-SYN-0036,CON-003,2180935.56,2026-06-10,Eligible,71.19,5,Not Selected
BID-000174,TND-00037,MPLADS-SYN-0037,CON-005,354395.53,2026-04-13,Eligible,69.78,3,Not Selected
BID-000175,TND-00037,MPLADS-SYN-0037,CON-001,355362.16,2026-04-13,Eligible,89.53,4,Not Selected
BID-000176,TND-00037,MPLADS-SYN-0037,CON-004,321537.92,2026-04-13,Eligible,97.85,2,Not Selected
BID-000177,TND-00037,MPLADS-SYN-0037,CON-007,310950.28,2026-04-13,Eligible,66.76,1,Not Selected
BID-000178,TND-00038,MPLADS-SYN-0038,CON-001,1327422.06,2026-03-16,Ineligible,,,Ineligible
BID-000179,TND-00038,MPLADS-SYN-0038,CON-007,1227950.66,2026-03-16,Ineligible,,,Ineligible
BID-000180,TND-00038,MPLADS-SYN-0038,CON-002,1266435.27,2026-03-16,Eligible,94.68,1,Not Selected
BID-000181,TND-00039,MPLADS-SYN-0039,CON-006,833907.42,2026-05-18,Ineligible,,,Ineligible
BID-000182,TND-00039,MPLADS-SYN-0039,CON-001,950144.16,2026-05-18,Ineligible,,,Ineligible
BID-000183,TND-00039,MPLADS-SYN-0039,CON-004,1039792.04,2026-05-18,Eligible,80.52,3,Not Selected
BID-000184,TND-00039,MPLADS-SYN-0039,CON-002,833810.3,2026-05-18,Ineligible,,,Ineligible
BID-000185,TND-00039,MPLADS-SYN-0039,CON-003,862694.89,2026-05-18,Eligible,72.67,1,Not Selected
BID-000186,TND-00039,MPLADS-SYN-0039,CON-005,907192.88,2026-05-18,Eligible,84.03,2,Not Selected
BID-000187,TND-00040,MPLADS-SYN-0040,CON-007,839916.96,2025-12-11,Eligible,81.07,3,Not Selected
BID-000188,TND-00040,MPLADS-SYN-0040,CON-001,906258.94,2025-12-11,Eligible,71.36,4,Not Selected
BID-000189,TND-00040,MPLADS-SYN-0040,CON-004,786446.73,2025-12-11,Eligible,83.96,2,Not Selected
BID-000190,TND-00040,MPLADS-SYN-0040,CON-003,780046.68,2025-12-11,Eligible,93.64,1,Not Selected
BID-000191,TND-00041,MPLADS-SYN-0041,CON-004,573061.41,2025-12-29,Ineligible,,,Submitted
BID-000192,TND-00041,MPLADS-SYN-0041,CON-002,660356.42,2025-12-29,Eligible,80.29,2,Under Evaluation
BID-000193,TND-00041,MPLADS-SYN-0041,CON-001,666894.42,2025-12-29,Ineligible,,,Submitted
BID-000194,TND-00041,MPLADS-SYN-0041,CON-005,541334.22,2025-12-29,Eligible,89.94,1,Under Evaluation
BID-000195,TND-00042,MPLADS-SYN-0042,CON-001,4041357.81,2026-02-26,Eligible,77.34,5,Not Selected
BID-000196,TND-00042,MPLADS-SYN-0042,CON-006,3418935.09,2026-02-26,Eligible,91.08,1,Not Selected
BID-000197,TND-00042,MPLADS-SYN-0042,CON-005,3357312.12,2026-02-26,Ineligible,,,Ineligible
BID-000198,TND-00042,MPLADS-SYN-0042,CON-004,3825190.87,2026-02-26,Eligible,62.4,4,Not Selected
BID-000199,TND-00042,MPLADS-SYN-0042,CON-007,3449528.89,2026-02-26,Eligible,90.84,2,Not Selected
BID-000200,TND-00042,MPLADS-SYN-0042,CON-002,4195949.56,2026-02-26,Ineligible,,,Ineligible
BID-000201,TND-00042,MPLADS-SYN-0042,CON-003,3565954.96,2026-02-26,Eligible,72.22,3,Not Selected
BID-000202,TND-00043,MPLADS-SYN-0043,CON-007,490996.08,2026-07-29,Eligible,62.4,1,Under Evaluation
BID-000203,TND-00043,MPLADS-SYN-0043,CON-002,523529.8,2026-07-29,Ineligible,,,Submitted
BID-000204,TND-00044,MPLADS-SYN-0044,CON-005,909843.0,2026-07-24,Ineligible,,,Ineligible
BID-000205,TND-00044,MPLADS-SYN-0044,CON-004,1075747.87,2026-07-24,Eligible,93.43,3,Not Selected
BID-000206,TND-00044,MPLADS-SYN-0044,CON-007,896286.07,2026-07-24,Eligible,66.82,1,Not Selected
BID-000207,TND-00044,MPLADS-SYN-0044,CON-001,898453.87,2026-07-24,Eligible,75.82,2,Not Selected
BID-000208,TND-00045,MPLADS-SYN-0045,CON-006,1767141.33,2026-07-17,Eligible,75.91,5,Not Selected
BID-000209,TND-00045,MPLADS-SYN-0045,CON-005,1672132.65,2026-07-17,Eligible,64.47,3,Not Selected
BID-000210,TND-00045,MPLADS-SYN-0045,CON-002,1660509.09,2026-07-17,Eligible,83.52,2,Not Selected
BID-000211,TND-00045,MPLADS-SYN-0045,CON-004,1801003.87,2026-07-17,Eligible,77.64,6,Not Selected
BID-000212,TND-00045,MPLADS-SYN-0045,CON-003,1701181.14,2026-07-17,Eligible,70.5,4,Selected
BID-000213,TND-00045,MPLADS-SYN-0045,CON-001,1518346.27,2026-07-17,Eligible,86.04,1,Not Selected
BID-000214,TND-00045,MPLADS-SYN-0045,CON-007,1845722.45,2026-07-17,Ineligible,,,Ineligible
BID-000215,TND-00046,MPLADS-SYN-0046,CON-004,2071473.95,2026-08-16,Eligible,66.01,2,Not Selected
BID-000216,TND-00046,MPLADS-SYN-0046,CON-002,2057439.14,2026-08-16,Eligible,62.69,1,Not Selected
BID-000217,TND-00046,MPLADS-SYN-0046,CON-007,2181179.9,2026-08-16,Ineligible,,,Ineligible
BID-000218,TND-00046,MPLADS-SYN-0046,CON-001,2395624.0,2026-08-16,Eligible,75.92,4,Not Selected
BID-000219,TND-00046,MPLADS-SYN-0046,CON-003,2488252.05,2026-08-16,Eligible,68.74,6,Not Selected
BID-000220,TND-00046,MPLADS-SYN-0046,CON-005,2106079.72,2026-08-16,Eligible,63.73,3,Not Selected
BID-000221,TND-00046,MPLADS-SYN-0046,CON-006,2482648.72,2026-08-16,Eligible,74.27,5,Not Selected
BID-000222,TND-00047,MPLADS-SYN-0047,CON-002,915560.33,2026-02-28,Ineligible,,,Ineligible
BID-000223,TND-00047,MPLADS-SYN-0047,CON-004,896202.71,2026-02-28,Ineligible,,,Ineligible
BID-000224,TND-00047,MPLADS-SYN-0047,CON-007,978457.54,2026-02-28,Eligible,97.07,2,Not Selected
BID-000225,TND-00047,MPLADS-SYN-0047,CON-005,855525.09,2026-02-28,Eligible,61.22,1,Not Selected
BID-000226,TND-00048,MPLADS-SYN-0048,CON-004,1591019.8,2026-01-01,Eligible,65.96,1,Not Selected
BID-000227,TND-00048,MPLADS-SYN-0048,CON-002,1782690.29,2026-01-01,Eligible,96.87,3,Not Selected
BID-000228,TND-00048,MPLADS-SYN-0048,CON-001,1808376.71,2026-01-01,Eligible,92.57,4,Under Evaluation
BID-000229,TND-00048,MPLADS-SYN-0048,CON-007,1652915.69,2026-01-01,Eligible,77.99,2,Not Selected
BID-000230,TND-00049,MPLADS-SYN-0049,CON-004,2136299.24,2026-04-20,Eligible,72.44,2,Not Selected
BID-000231,TND-00049,MPLADS-SYN-0049,CON-001,1989733.52,2026-04-20,Eligible,94.72,1,Not Selected
BID-000232,TND-00049,MPLADS-SYN-0049,CON-003,2149125.9,2026-04-20,Ineligible,,,Ineligible
BID-000233,TND-00050,MPLADS-SYN-0050,CON-007,844142.79,2026-02-07,Eligible,76.18,3,Not Selected
BID-000234,TND-00050,MPLADS-SYN-0050,CON-001,768349.83,2026-02-07,Eligible,77.19,2,Not Selected
BID-000235,TND-00050,MPLADS-SYN-0050,CON-004,737203.58,2026-02-07,Eligible,86.34,1,Not Selected
