project_id,state,district,constituency,work_type,work_description,sanction_amount,estimated_cost,expenditure,start_date,expected_completion,actual_completion_date,physical_progress,financial_progress,implementing_agency,contractor_agency,latitude,longitude,status,terrain,data_source
MPLADS-SYN-0038,Tamil Nadu,Coimbatore,Coimbatore,Road,Road development work in Coimbatore,1400000,1400000,1062749,2026-03-25,2026-11-15,,80,84,District Health Office,Sai Construction,17.809889,75.007587,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0039,Bihar,Muzaffarpur,Muzaffarpur,Sports Facility,Sports Facility development work in Muzaffarpur,1000000,980000,613512,2026-07-03,2026-12-20,,55,66,Education Department,Om Civil Works,11.699358,76.847146,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0040,Uttar Pradesh,Varanasi,Varanasi,Street Lighting,Street Lighting development work in Varanasi,850000,830000,505847,2026-01-24,2026-05-11,,51,63,Public Works Department,Sai Construction,15.933241,81.2676,Ongoing,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0041,Tamil Nadu,Salem,Salem,Sports Facility,Sports Facility development work in Salem,630000,630000,270900,2026-02-03,2026-06-22,,41,43,District Health Office,Sai Construction,22.736828,80.673978,Delayed,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0042,Gujarat,Kutch,Kutch,Community Hall,Community Hall development work in Kutch,3930000,3830000,903900,2026-03-06,2026-10-20,,22,23,District Health Office,Om Civil Works,26.491018,77.570723,Under Review,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0043,Tamil Nadu,Tiruchirappalli,Tiruchirappalli,Sports Facility,Sports Facility development work in Tiruchirappalli,560000,570000,408800,2026-08-04,2026-12-10,,75,73,Municipal Council,Sai Construction,10.887992,72.834987,Under Review,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0044,Rajasthan,Kota,Kota,Sports Facility,Sports Facility development work in Kota,1000000,1030000,403047,2026-08-25,2027-03-13,,41,43,Education Department,Maharashtra Works Agency,28.276359,83.226578,Ongoing,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0045,Karnataka,Hubballi,Hubballi,Drainage,Drainage development work in Hubballi,1720000,1690000,1104635,2026-08-23,2027-03-15,,61,69,Rural Development Agency,Maharashtra Works Agency,24.722851,78.077904,Ongoing,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0046,Bihar,Darbhanga,Darbhanga,Health Facility,Health Facility development work in Darbhanga,2470000,2400000,2242531,2026-08-18,2027-01-12,,86,98,Municipal Corporation,Om Civil Works,21.855306,86.316298,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0047,Gujarat,Vadodara,Vadodara,Library,Library development work in Vadodara,960000,950000,612220,2026-04-07,2026-10-21,,72,69,Public Works Department,Maharashtra Works Agency,22.271512,74.265004,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0048,Maharashtra,Ahmednagar,Ahmednagar,Health Facility,Health Facility development work in Ahmednagar,1740000,1700000,1461600,2026-01-13,2026-07-18,,15,84,District Health Office,Shree Buildcon,27.723693,87.279655,Under Review,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0049,Maharashtra,Dhule,Dhule,Health Facility,Health Facility development work in Dhule,1990000,2000000,788794,2026-05-11,2026-09-25,,50,41,District Health Office,Om Civil Works,19.743986,76.315627,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0050,Maharashtra,Thane,Thane,Sports Facility,Sports Facility development work in Thane,810000,810000,465049,2026-03-06,2026-07-27,,66,58,Public Works Department,District Works Cooperative,17.057731,83.224871,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0051,Uttar Pradesh,Varanasi,Varanasi,Health Facility,Health Facility development work in Varanasi,3160000,3090000,2528000,2026-07-13,2026-10-01,,22,80,District Health Office,National Infra Services,25.928351,74.194332,Under Review,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0052,Maharashtra,Ahmednagar,Ahmednagar,Sports Facility,Sports Facility development work in Ahmednagar,1020000,1040000,836400,2026-06-19,2027-01-18,,48,82,District Health Office,District Works Cooperative,24.776841,75.908917,Under Review,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0053,Maharashtra,Thane,Thane,Health Facility,Health Facility development work in Thane,2940000,2930000,1401738,2026-03-13,2026-07-13,,58,50,Municipal Council,Maharashtra Works Agency,14.770391,73.304662,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0054,Rajasthan,Ajmer,Ajmer,Drainage,Drainage development work in Ajmer,2350000,2380000,1055232,2026-08-18,2027-04-01,,41,46,Municipal Corporation,Maharashtra Works Agency,13.362013,80.461473,Ongoing,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0055,Tamil Nadu,Coimbatore,Coimbatore,Community Hall,Community Hall development work in Coimbatore,3590000,3590000,1246536,2026-01-17,2026-03-26,,35,38,Education Department,District Works Cooperative,9.523773,85.496933,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0056,Karnataka,Belagavi,Belagavi,Street Lighting,Street Lighting development work in Belagavi,1180000,1210000,908600,2026-07-15,2027-02-04,,17,77,District Health Office,Shree Buildcon,12.630074,83.286687,Under Review,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0057,Uttar Pradesh,Agra,Agra,Drainage,Drainage development work in Agra,1400000,1380000,1046146,2026-03-23,2026-06-11,,88,80,District Health Office,Om Civil Works,27.973628,72.885991,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0058,Uttar Pradesh,Prayagraj,Prayagraj,Sports Facility,Sports Facility development work in Prayagraj,1720000,1720000,783116,2026-02-01,2026-04-24,,59,49,Public Works Department,Maharashtra Works Agency,9.907817,81.867723,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0059,Uttar Pradesh,Varanasi,Varanasi,Solar Lighting,Solar Lighting development work in Varanasi,1240000,1220000,643031,2026-06-15,2026-11-07,,54,54,Education Department,Sai Construction,24.882472,82.742108,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0060,Uttar Pradesh,Prayagraj,Prayagraj,School Building,School Building development work in Prayagraj,3390000,3290000,1249764,2026-08-19,2027-01-28,,37,38,Public Works Department,Om Civil Works,26.931663,86.348956,Ongoing,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0061,Tamil Nadu,Madurai,Madurai,Drainage,Drainage development work in Madurai,1590000,1560000,710156,2026-08-12,2027-02-09,,37,49,Rural Development Agency,ABC Infrastructure Pvt Ltd,22.800876,79.465379,Ongoing,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0062,Bihar,Patna,Patna,Street Lighting,Street Lighting development work in Patna,1450000,1450000,1160000,2026-06-20,2026-11-26,,54,80,Rural Development Agency,Om Civil Works,20.033597,77.740757,Under Review,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0063,Bihar,Bhagalpur,Bhagalpur,Library,Library development work in Bhagalpur,1380000,1360000,644933,2026-08-16,2026-11-26,,52,49,Public Works Department,ABC Infrastructure Pvt Ltd,8.632644,84.557434,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0064,Tamil Nadu,Tiruchirappalli,Tiruchirappalli,Health Facility,Health Facility development work in Tiruchirappalli,1650000,1640000,1210864,2026-04-07,2026-06-21,,80,79,Municipal Corporation,Om Civil Works,18.911756,81.848152,Ongoing,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0065,Gujarat,Rajkot,Rajkot,Drainage,Drainage development work in Rajkot,570000,560000,405946,2026-07-07,2026-12-23,,70,78,Municipal Council,District Works Cooperative,18.141656,77.327275,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0066,Maharashtra,Jalgaon,Jalgaon,School Building,School Building development work in Jalgaon,3200000,3160000,2631493,2026-08-03,2026-11-29,,91,90,Zilla Parishad,Sai Construction,22.980649,73.690048,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0067,Gujarat,Surat,Surat,Sports Facility,Sports Facility development work in Surat,1840000,1830000,1335661,2026-05-25,2027-01-16,,73,79,Education Department,ABC Infrastructure Pvt Ltd,25.364935,86.451149,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0068,Gujarat,Ahmedabad,Ahmedabad,Solar Lighting,Solar Lighting development work in Ahmedabad,410000,420000,254575,2026-04-02,2026-06-16,,61,64,Rural Development Agency,District Works Cooperative,18.385517,82.371416,Ongoing,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0069,Karnataka,Mysuru,Mysuru,Drainage,Drainage development work in Mysuru,730000,720000,458752,2026-05-24,2026-08-22,,51,63,Zilla Parishad,District Works Cooperative,14.867726,79.083855,Ongoing,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0070,Uttar Pradesh,Kanpur Nagar,Kanpur,Drainage,Drainage development work in Kanpur Nagar,1020000,1030000,559957,2026-06-09,2026-08-27,,49,55,Municipal Corporation,Om Civil Works,10.447719,83.109874,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0071,Uttar Pradesh,Varanasi,Varanasi,School Building,School Building development work in Varanasi,2050000,2050000,1476000,2026-04-14,2026-10-16,,77,72,Municipal Council,ABC Infrastructure Pvt Ltd,22.588876,73.53494,Under Review,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0072,Bihar,Muzaffarpur,Muzaffarpur,Health Facility,Health Facility development work in Muzaffarpur,1410000,1410000,705000,2026-04-15,2026-08-31,,24,50,Municipal Corporation,Sai Construction,25.475885,73.491945,Delayed,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0073,Bihar,Gaya,Gaya,School Building,School Building development work in Gaya,2630000,2690000,1954083,2026-08-02,2026-11-13,,78,81,Rural Development Agency,Om Civil Works,24.844551,78.517478,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0074,Tamil Nadu,Tiruchirappalli,Tiruchirappalli,Drinking Water,Drinking Water development work in Tiruchirappalli,380000,370000,171000,2026-05-02,2026-10-29,,26,45,Municipal Corporation,Om Civil Works,23.720264,88.493495,Under Review,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0075,Rajasthan,Jodhpur,Jodhpur,Drainage,Drainage development work in Jodhpur,2190000,2230000,1505140,2026-06-02,2026-08-06,,68,69,Public Works Department,Shree Buildcon,22.446275,74.337269,Ongoing,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0076,Rajasthan,Ajmer,Ajmer,School Building,School Building development work in Ajmer,3460000,3540000,3390800,2026-02-08,2026-07-06,,55,98,Municipal Council,Maharashtra Works Agency,21.041829,87.890814,Under Review,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0077,Maharashtra,Dhule,Dhule,Road,Road development work in Dhule,1290000,1310000,812700,2026-02-03,2026-06-30,,25,63,Rural Development Agency,Shree Buildcon,11.298542,73.23754,Under Review,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0078,Madhya Pradesh,Jabalpur,Jabalpur,School Building,School Building development work in Jabalpur,3490000,3420000,1961952,2026-05-13,2026-11-09,,58,60,District Health Office,Sai Construction,13.43259,82.590795,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0079,Rajasthan,Udaipur,Udaipur,Street Lighting,Street Lighting development work in Udaipur,400000,400000,363246,2026-01-17,2026-08-11,2026-08-21,95,99,Education Department,Om Civil Works,19.715451,88.215454,Completed,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0080,Uttar Pradesh,Lucknow,Lucknow,Health Facility,Health Facility development work in Lucknow,1530000,1560000,1269900,2026-02-04,2026-08-27,,41,83,Zilla Parishad,District Works Cooperative,24.107785,86.313342,Under Review,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0081,Uttar Pradesh,Prayagraj,Prayagraj,Sports Facility,Sports Facility development work in Prayagraj,1270000,1250000,710689,2026-03-03,2026-07-20,,71,61,Public Works Department,National Infra Services,16.269395,84.878521,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0082,Rajasthan,Kota,Kota,Health Facility,Health Facility development work in Kota,3320000,3420000,2740935,2026-01-16,2026-04-19,,86,85,Municipal Council,National Infra Services,20.32341,72.139651,Ongoing,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0083,Uttar Pradesh,Varanasi,Varanasi,Community Hall,Community Hall development work in Varanasi,940000,930000,394800,2026-05-09,2026-10-23,,72,42,Rural Development Agency,Sai Construction,23.103008,81.619891,Under Review,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0084,Gujarat,Rajkot,Rajkot,Drinking Water,Drinking Water development work in Rajkot,1540000,1580000,862400,2026-07-17,2026-11-30,,41,56,Zilla Parishad,Sai Construction,25.852408,74.487844,Under Review,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0085,Rajasthan,Kota,Kota,Road,Road development work in Kota,2750000,2780000,2172500,2026-04-01,2026-11-20,,34,79,District Health Office,ABC Infrastructure Pvt Ltd,23.038866,75.733384,Under Review,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0086,Maharashtra,Solapur,Solapur,Road,Road development work in Solapur,2140000,2190000,1438082,2026-01-02,2026-08-26,,79,73,Rural Development Agency,ABC Infrastructure Pvt Ltd,17.108443,74.039319,Ongoing,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0087,Madhya Pradesh,Bhopal,Bhopal,Sports Facility,Sports Facility development work in Bhopal,1610000,1570000,1271900,2026-08-11,2026-12-09,,46,79,Zilla Parishad,ABC Infrastructure Pvt Ltd,21.768479,86.963521,Under Review,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0088,Tamil Nadu,Madurai,Madurai,Community Hall,Community Hall development work in Madurai,1370000,1380000,1068600,2026-08-09,2027-01-14,,25,78,Education Department,National Infra Services,17.804023,78.958707,Under Review,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0089,Maharashtra,Nashik,Nashik,Community Hall,Community Hall development work in Nashik,3450000,3380000,2108749,2026-08-06,2026-10-24,,67,64,Rural Development Agency,District Works Cooperative,14.572993,77.459765,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0090,Bihar,Muzaffarpur,Muzaffarpur,Library,Library development work in Muzaffarpur,580000,590000,369716,2026-04-01,2026-08-26,,58,70,Education Department,Maharashtra Works Agency,20.990054,85.19856,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0091,Madhya Pradesh,Sagar,Sagar,Community Hall,Community Hall development work in Sagar,1420000,1450000,738267,2026-06-17,2026-11-22,,56,55,Public Works Department,Sai Construction,26.77616,84.579182,Ongoing,Semi-urban,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0092,Karnataka,Dharwad,Dharwad,Road,Road development work in Dharwad,1790000,1830000,1059744,2026-07-05,2026-09-16,,53,64,Zilla Parishad,National Infra Services,12.098,84.378053,Ongoing,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0093,Karnataka,Dharwad,Dharwad,Community Hall,Community Hall development work in Dharwad,1160000,1180000,605332,2026-03-24,2026-10-01,,45,53,Rural Development Agency,ABC Infrastructure Pvt Ltd,8.833002,76.605352,Ongoing,Plain,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0094,Karnataka,Mysuru,Mysuru,Solar Lighting,Solar Lighting development work in Mysuru,1600000,1600000,400000,2026-01-04,2026-08-23,,35,25,Rural Development Agency,Maharashtra Works Agency,12.927131,82.597362,Under Review,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0095,Uttar Pradesh,Lucknow,Lucknow,Community Hall,Community Hall development work in Lucknow,920000,920000,765921,2026-06-02,2026-08-23,,87,84,Zilla Parishad,ABC Infrastructure Pvt Ltd,11.648839,76.156482,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0096,Uttar Pradesh,Prayagraj,Prayagraj,Road,Road development work in Prayagraj,1670000,1710000,1073231,2026-04-05,2026-09-12,,54,65,Education Department,District Works Cooperative,25.414082,76.867145,Ongoing,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0097,Maharashtra,Thane,Thane,Library,Library development work in Thane,1660000,1700000,1333651,2026-02-09,2026-05-05,,77,87,District Health Office,Shree Buildcon,19.902211,87.700408,Ongoing,Hilly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0098,Gujarat,Surat,Surat,Solar Lighting,Solar Lighting development work in Surat,460000,450000,186083,2026-03-18,2026-07-06,,36,42,District Health Office,Maharashtra Works Agency,26.169885,73.261629,Ongoing,Rural,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0099,Tamil Nadu,Chennai,Chennai,Drinking Water,Drinking Water development work in Chennai,1520000,1540000,1036377,2026-05-12,2026-09-08,,65,69,District Health Office,ABC Infrastructure Pvt Ltd,12.238869,86.977481,Ongoing,Plain,SYNTHETIC_PROTOTYPE
