project_id,anomaly_type,risk_level,reason,label_source
MPLADS-SYN-0074,payment_anomaly,Medium,Prototype payment pattern anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0075,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0076,cost_anomaly,High,High expenditure relative to physical progress,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0077,duplicate,High,Potentially similar project/location requires verification,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0078,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0079,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0080,cost_anomaly,High,High expenditure relative to physical progress,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0081,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0082,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0083,payment_anomaly,Medium,Prototype payment pattern anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0084,payment_anomaly,Medium,Prototype payment pattern anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0085,cost_anomaly,High,High expenditure relative to physical progress,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0086,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0087,cost_anomaly,High,High expenditure relative to physical progress,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0088,cost_anomaly,High,High expenditure relative to physical progress,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0089,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0090,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0091,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0092,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0093,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0094,duplicate,High,Potentially similar project/location requires verification,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0095,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0096,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0097,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0098,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0099,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0100,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0101,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0102,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0103,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0104,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0105,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0106,duplicate,High,Potentially similar project/location requires verification,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0107,payment_anomaly,Medium,Prototype payment pattern anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0108,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0109,cost_anomaly,High,High expenditure relative to physical progress,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0110,duplicate,High,Potentially similar project/location requires verification,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0111,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0112,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0113,delay,High,Physical progress is below expected schedule,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0114,delay,High,Physical progress is below expected schedule,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0115,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0116,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0117,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0118,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0119,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0120,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0121,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0122,duplicate,High,Potentially similar project/location requires verification,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0123,cost_anomaly,High,High expenditure relative to physical progress,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0124,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0125,duplicate,High,Potentially similar project/location requires verification,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0126,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0127,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0128,cost_anomaly,High,High expenditure relative to physical progress,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0129,delay,High,Physical progress is below expected schedule,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0130,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0131,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0132,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0133,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0134,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0135,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0136,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0137,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0138,cost_anomaly,High,High expenditure relative to physical progress,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0139,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0140,duplicate,High,Potentially similar project/location requires verification,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0141,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0142,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0143,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0144,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0145,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0146,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0147,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0148,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0149,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0150,cost_anomaly,High,High expenditure relative to physical progress,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0151,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0152,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0153,cost_anomaly,High,High expenditure relative to physical progress,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0154,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0155,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0156,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0157,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0158,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0159,delay,High,Physical progress is below expected schedule,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0160,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0161,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0162,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0163,duplicate,High,Potentially similar project/location requires verification,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0164,duplicate,High,Potentially similar project/location requires verification,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0165,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0166,cost_anomaly,High,High expenditure relative to physical progress,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0167,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0168,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0169,payment_anomaly,Medium,Prototype payment pattern anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0170,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0171,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0172,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0173,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0174,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0175,duplicate,High,Potentially similar project/location requires verification,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0176,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0177,duplicate,High,Potentially similar project/location requires verification,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0178,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0179,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0180,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0181,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0182,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0183,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0184,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0185,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0186,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0187,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0188,duplicate,High,Potentially similar project/location requires verification,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0189,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0190,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0191,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0192,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0193,duplicate,High,Potentially similar project/location requires verification,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0194,cost_anomaly,High,High expenditure relative to physical progress,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0195,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0196,duplicate,High,Potentially similar project/location requires verification,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0197,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0198,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0199,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0200,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0201,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0202,cost_anomaly,High,High expenditure relative to physical progress,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0203,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0204,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0205,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0206,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0207,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0208,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0209,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0210,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0211,payment_anomaly,Medium,Prototype payment pattern anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0212,payment_anomaly,Medium,Prototype payment pattern anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0213,cost_anomaly,High,High expenditure relative to physical progress,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0214,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0215,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0216,delay,High,Physical progress is below expected schedule,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0217,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0218,duplicate,High,Potentially similar project/location requires verification,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0219,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0220,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0221,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0222,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0223,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0224,delay,High,Physical progress is below expected schedule,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0225,payment_anomaly,Medium,Prototype payment pattern anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0226,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0227,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0228,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0229,delay,High,Physical progress is below expected schedule,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0230,payment_anomaly,Medium,Prototype payment pattern anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0231,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0232,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0233,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0234,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0235,payment_anomaly,Medium,Prototype payment pattern anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0236,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0237,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0238,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0239,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0240,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0241,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0242,cost_anomaly,High,High expenditure relative to physical progress,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0243,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0244,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0245,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0246,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0247,cost_anomaly,High,High expenditure relative to physical progress,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0248,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0249,payment_anomaly,Medium,Prototype payment pattern anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0250,delay,High,Physical progress is below expected schedule,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0251,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0252,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0253,delay,High,Physical progress is below expected schedule,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0254,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0255,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0256,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0257,delay,High,Physical progress is below expected schedule,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0258,duplicate,High,Potentially similar project/location requires verification,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0259,delay,High,Physical progress is below expected schedule,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0260,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0261,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0262,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0263,cost_anomaly,High,High expenditure relative to physical progress,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0264,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0265,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0266,cost_anomaly,High,High expenditure relative to physical progress,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0267,duplicate,High,Potentially similar project/location requires verification,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0268,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0269,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0270,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0271,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0272,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0273,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0274,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0275,payment_anomaly,Medium,Prototype payment pattern anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0276,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0277,cost_anomaly,High,High expenditure relative to physical progress,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0278,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0279,delay,High,Physical progress is below expected schedule,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0280,duplicate,High,Potentially similar project/location requires verification,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0281,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0282,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0283,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0284,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0285,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
MPLADS-SYN-0286,normal,Low,No major prototype anomaly,SYNTHETIC_PROTOTYPE
