inspection_id,project_id,inspection_date,inspection_type,inspector_name,physical_progress_verified,financial_progress_verified,gps_verified,evidence_verified,outcome,remarks
INS-00149,MPLADS-SYN-0823,2026-10-28,Surprise,Inspector 8,58.94,52.02,True,True,Satisfactory,Site verification required
INS-00150,MPLADS-SYN-0322,2026-06-16,Surprise,Inspector 6,59.21,64.63,True,True,Satisfactory,No major issue observed
INS-00151,MPLADS-SYN-0644,2026-10-08,Routine,Inspector 29,32.54,21.58,True,True,Satisfactory,Site verification required
INS-00152,MPLADS-SYN-0159,2026-09-30,Milestone,Inspector 2,30.89,38.4,True,True,Satisfactory,Minor documentation gap
INS-00153,MPLADS-SYN-0978,2026-04-14,Completion,Inspector 30,25.06,70.68,False,True,Needs Improvement,Minor documentation gap
INS-00154,MPLADS-SYN-0430,2027-01-20,Milestone,Inspector 2,83.87,47.75,True,True,Follow-up Required,No major issue observed
INS-00155,MPLADS-SYN-0942,2026-08-05,Milestone,Inspector 27,34.11,27.67,True,True,Satisfactory,Work progressing as reported
INS-00156,MPLADS-SYN-0463,2026-12-06,Surprise,Inspector 18,60.75,24.33,False,True,Needs Improvement,Work progressing as reported
INS-00157,MPLADS-SYN-0310,2026-05-29,Milestone,Inspector 29,74.36,74.97,True,True,Satisfactory,No major issue observed
INS-00158,MPLADS-SYN-0698,2026-06-23,Routine,Inspector 19,76.93,49.71,True,True,Satisfactory,Minor documentation gap
INS-00159,MPLADS-SYN-0061,2026-12-02,Routine,Inspector 16,41.33,26.03,True,True,Satisfactory,Site verification required
INS-00160,MPLADS-SYN-0885,2026-02-25,Milestone,Inspector 24,38.02,68.9,True,True,Needs Improvement,No major issue observed
INS-00161,MPLADS-SYN-0596,2026-08-17,Completion,Inspector 28,80.1,48.64,True,True,Needs Improvement,No major issue observed
INS-00162,MPLADS-SYN-0768,2027-01-22,Milestone,Inspector 17,62.11,30.52,True,True,Satisfactory,Minor documentation gap
INS-00163,MPLADS-SYN-0650,2026-08-17,Routine,Inspector 24,46.57,87.63,True,False,Follow-up Required,Site verification required
INS-00164,MPLADS-SYN-0651,2026-09-14,Milestone,Inspector 11,83.1,89.92,True,True,Follow-up Required,No major issue observed
INS-00165,MPLADS-SYN-0866,2026-02-19,Routine,Inspector 10,40.46,45.15,False,False,Needs Improvement,No major issue observed
INS-00166,MPLADS-SYN-0669,2026-12-19,Completion,Inspector 20,69.13,90.18,True,True,Needs Improvement,Minor documentation gap
INS-00167,MPLADS-SYN-0299,2027-03-03,Routine,Inspector 30,59.93,23.36,False,True,Follow-up Required,Work progressing as reported
INS-00168,MPLADS-SYN-0690,2026-07-14,Surprise,Inspector 25,40.07,78.62,True,False,Satisfactory,Minor documentation gap
INS-00169,MPLADS-SYN-0315,2026-07-22,Completion,Inspector 27,59.22,60.07,True,False,Satisfactory,Minor documentation gap
INS-00170,MPLADS-SYN-0311,2026-08-02,Completion,Inspector 22,33.83,95.06,False,False,Needs Improvement,Work progressing as reported
INS-00171,MPLADS-SYN-0362,2026-10-31,Surprise,Inspector 3,95.44,74.8,True,False,Follow-up Required,Work progressing as reported
INS-00172,MPLADS-SYN-0480,2026-05-21,Completion,Inspector 11,97.89,80.7,False,True,Satisfactory,No major issue observed
INS-00173,MPLADS-SYN-0111,2027-01-24,Routine,Inspector 1,84.67,32.49,True,True,Satisfactory,Work progressing as reported
INS-00174,MPLADS-SYN-0990,2027-03-09,Surprise,Inspector 15,15.47,35.45,True,True,Satisfactory,No major issue observed
INS-00175,MPLADS-SYN-0487,2026-08-19,Completion,Inspector 17,61.57,77.95,True,False,Satisfactory,Minor documentation gap
INS-00176,MPLADS-SYN-0364,2026-09-13,Completion,Inspector 29,35.33,67.87,False,False,Follow-up Required,Site verification required
INS-00177,MPLADS-SYN-0255,2026-09-27,Surprise,Inspector 10,46.72,36.35,True,True,Needs Improvement,Site verification required
INS-00178,MPLADS-SYN-0260,2026-12-13,Surprise,Inspector 19,45.57,54.78,False,False,Follow-up Required,No major issue observed
INS-00179,MPLADS-SYN-0803,2026-09-10,Routine,Inspector 28,24.98,81.03,True,True,Needs Improvement,No major issue observed
INS-00180,MPLADS-SYN-0678,2026-07-09,Completion,Inspector 2,47.62,68.61,True,True,Needs Improvement,Minor documentation gap
INS-00181,MPLADS-SYN-0495,2026-08-28,Routine,Inspector 17,36.78,70.07,True,True,Satisfactory,Minor documentation gap
INS-00182,MPLADS-SYN-0671,2026-02-17,Milestone,Inspector 12,64.47,96.91,True,True,Satisfactory,Minor documentation gap
INS-00183,MPLADS-SYN-0378,2026-05-05,Completion,Inspector 16,43.71,21.47,True,True,Follow-up Required,No major issue observed
INS-00184,MPLADS-SYN-0527,2026-09-16,Routine,Inspector 19,68.52,87.17,True,True,Follow-up Required,Site verification required
INS-00185,MPLADS-SYN-0846,2027-01-20,Milestone,Inspector 1,40.63,31.49,False,True,Follow-up Required,Minor documentation gap
INS-00186,MPLADS-SYN-0138,2026-08-16,Surprise,Inspector 11,7.38,24.62,True,True,Needs Improvement,Work progressing as reported
INS-00187,MPLADS-SYN-0356,2026-08-27,Milestone,Inspector 19,41.55,52.12,True,True,Satisfactory,No major issue observed
INS-00188,MPLADS-SYN-0366,2026-07-06,Completion,Inspector 4,93.27,21.06,True,True,Needs Improvement,Minor documentation gap
INS-00189,MPLADS-SYN-0943,2026-09-03,Routine,Inspector 1,87.28,43.28,True,True,Satisfactory,Site verification required
INS-00190,MPLADS-SYN-0750,2026-10-10,Routine,Inspector 16,66.07,77.11,True,True,Satisfactory,No major issue observed
INS-00191,MPLADS-SYN-0949,2026-06-06,Completion,Inspector 25,77.2,60.96,True,False,Needs Improvement,Minor documentation gap
INS-00192,MPLADS-SYN-0830,2026-09-02,Completion,Inspector 6,59.32,32.42,True,False,Satisfactory,No major issue observed
INS-00193,MPLADS-SYN-0657,2026-06-23,Milestone,Inspector 5,4.0,30.37,True,True,Satisfactory,Site verification required
INS-00194,MPLADS-SYN-0200,2026-07-07,Completion,Inspector 28,79.57,96.28,True,True,Follow-up Required,Work progressing as reported
INS-00195,MPLADS-SYN-0214,2026-09-28,Routine,Inspector 27,81.2,93.84,False,True,Needs Improvement,Work progressing as reported
INS-00196,MPLADS-SYN-0409,2026-11-14,Completion,Inspector 13,41.9,76.77,True,True,Satisfactory,Minor documentation gap
INS-00197,MPLADS-SYN-0333,2026-10-28,Completion,Inspector 17,58.85,81.71,True,False,Satisfactory,Work progressing as reported
INS-00198,MPLADS-SYN-0209,2026-08-21,Milestone,Inspector 14,69.33,31.24,True,False,Follow-up Required,Site verification required
INS-00199,MPLADS-SYN-0614,2026-08-14,Surprise,Inspector 10,60.48,31.58,True,False,Needs Improvement,Minor documentation gap
INS-00200,MPLADS-SYN-0079,2026-04-21,Milestone,Inspector 24,88.13,89.46,True,True,Follow-up Required,Work progressing as reported
INS-00201,MPLADS-SYN-0030,2026-07-28,Routine,Inspector 8,100.0,87.01,True,False,Needs Improvement,Work progressing as reported
INS-00202,MPLADS-SYN-0536,2026-10-15,Completion,Inspector 22,10.09,66.97,True,True,Satisfactory,Work progressing as reported
INS-00203,MPLADS-SYN-0696,2027-02-13,Completion,Inspector 1,39.13,21.96,True,True,Satisfactory,Work progressing as reported
INS-00204,MPLADS-SYN-0558,2026-04-03,Surprise,Inspector 28,84.17,96.51,False,False,Satisfactory,Minor documentation gap
INS-00205,MPLADS-SYN-0837,2026-04-25,Completion,Inspector 18,53.84,82.17,True,True,Follow-up Required,Work progressing as reported
INS-00206,MPLADS-SYN-0597,2026-08-02,Routine,Inspector 9,35.49,80.45,False,True,Needs Improvement,Work progressing as reported
INS-00207,MPLADS-SYN-0166,2026-09-09,Surprise,Inspector 1,30.18,47.34,True,False,Satisfactory,Minor documentation gap
INS-00208,MPLADS-SYN-0919,2026-05-25,Routine,Inspector 15,54.98,73.48,True,True,Needs Improvement,No major issue observed
INS-00209,MPLADS-SYN-0496,2026-03-18,Completion,Inspector 1,88.16,41.99,True,True,Needs Improvement,No major issue observed
INS-00210,MPLADS-SYN-0825,2026-04-19,Completion,Inspector 17,72.4,21.74,True,True,Needs Improvement,Site verification required
INS-00211,MPLADS-SYN-0066,2027-03-16,Surprise,Inspector 11,90.58,95.71,True,True,Follow-up Required,Site verification required
INS-00212,MPLADS-SYN-0142,2026-07-20,Surprise,Inspector 26,78.87,78.05,True,True,Follow-up Required,Minor documentation gap
INS-00213,MPLADS-SYN-0926,2026-07-04,Surprise,Inspector 20,65.04,69.07,False,True,Needs Improvement,Work progressing as reported
INS-00214,MPLADS-SYN-0828,2026-09-17,Milestone,Inspector 20,77.7,38.3,False,False,Satisfactory,Site verification required
