update_id,project_id,date,physical_progress,financial_progress,reported_by,data_source
PR-0015-2,MPLADS-SYN-0015,2026-10-05,44,41,Field Officer,SYNTHETIC_PROTOTYPE
PR-0015-3,MPLADS-SYN-0015,2026-12-09,66,66,District Authority,SYNTHETIC_PROTOTYPE
PR-0016-1,MPLADS-SYN-0016,2026-04-03,21,22,District Authority,SYNTHETIC_PROTOTYPE
PR-0016-2,MPLADS-SYN-0016,2026-05-27,42,46,Field Officer,SYNTHETIC_PROTOTYPE
PR-0016-3,MPLADS-SYN-0016,2026-07-22,67,73,Field Officer,SYNTHETIC_PROTOTYPE
PR-0017-1,MPLADS-SYN-0017,2026-03-30,14,17,Field Officer,SYNTHETIC_PROTOTYPE
PR-0017-2,MPLADS-SYN-0017,2026-04-20,34,45,District Authority,SYNTHETIC_PROTOTYPE
PR-0017-3,MPLADS-SYN-0017,2026-05-12,56,66,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0018-1,MPLADS-SYN-0018,2026-09-27,20,16,Field Officer,SYNTHETIC_PROTOTYPE
PR-0018-2,MPLADS-SYN-0018,2026-12-06,38,39,Field Officer,SYNTHETIC_PROTOTYPE
PR-0018-3,MPLADS-SYN-0018,2027-02-17,62,62,Field Officer,SYNTHETIC_PROTOTYPE
PR-0019-1,MPLADS-SYN-0019,2026-05-13,6,25,District Authority,SYNTHETIC_PROTOTYPE
PR-0019-2,MPLADS-SYN-0019,2026-06-11,9,53,Field Officer,SYNTHETIC_PROTOTYPE
PR-0019-3,MPLADS-SYN-0019,2026-07-12,19,78,District Authority,SYNTHETIC_PROTOTYPE
PR-0020-1,MPLADS-SYN-0020,2026-09-29,31,31,District Authority,SYNTHETIC_PROTOTYPE
PR-0020-2,MPLADS-SYN-0020,2026-12-04,51,55,Field Officer,SYNTHETIC_PROTOTYPE
PR-0020-3,MPLADS-SYN-0020,2027-02-10,85,89,Field Officer,SYNTHETIC_PROTOTYPE
PR-0021-1,MPLADS-SYN-0021,2026-09-13,17,14,District Authority,SYNTHETIC_PROTOTYPE
PR-0021-2,MPLADS-SYN-0021,2026-11-11,38,24,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0021-3,MPLADS-SYN-0021,2027-01-12,52,37,Field Officer,SYNTHETIC_PROTOTYPE
PR-0022-1,MPLADS-SYN-0022,2026-09-01,13,17,Field Officer,SYNTHETIC_PROTOTYPE
PR-0022-2,MPLADS-SYN-0022,2026-10-03,37,35,District Authority,SYNTHETIC_PROTOTYPE
PR-0022-3,MPLADS-SYN-0022,2026-11-05,54,55,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0023-1,MPLADS-SYN-0023,2026-08-14,16,14,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0023-2,MPLADS-SYN-0023,2026-09-23,29,32,District Authority,SYNTHETIC_PROTOTYPE
PR-0023-3,MPLADS-SYN-0023,2026-11-04,40,45,District Authority,SYNTHETIC_PROTOTYPE
PR-0024-1,MPLADS-SYN-0024,2026-03-22,6,11,Field Officer,SYNTHETIC_PROTOTYPE
PR-0024-2,MPLADS-SYN-0024,2026-05-23,9,22,District Authority,SYNTHETIC_PROTOTYPE
PR-0024-3,MPLADS-SYN-0024,2026-07-26,22,36,Field Officer,SYNTHETIC_PROTOTYPE
PR-0025-1,MPLADS-SYN-0025,2026-03-15,18,25,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0025-2,MPLADS-SYN-0025,2026-05-19,42,46,Field Officer,SYNTHETIC_PROTOTYPE
PR-0025-3,MPLADS-SYN-0025,2026-07-25,58,66,Field Officer,SYNTHETIC_PROTOTYPE
PR-0026-1,MPLADS-SYN-0026,2026-07-18,10,32,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0026-2,MPLADS-SYN-0026,2026-10-04,15,63,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0026-3,MPLADS-SYN-0026,2026-12-24,18,99,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0027-1,MPLADS-SYN-0027,2026-03-15,13,14,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0027-2,MPLADS-SYN-0027,2026-04-06,20,23,District Authority,SYNTHETIC_PROTOTYPE
PR-0027-3,MPLADS-SYN-0027,2026-04-29,37,35,Field Officer,SYNTHETIC_PROTOTYPE
PR-0028-1,MPLADS-SYN-0028,2026-03-19,21,23,Field Officer,SYNTHETIC_PROTOTYPE
PR-0028-2,MPLADS-SYN-0028,2026-05-01,52,51,District Authority,SYNTHETIC_PROTOTYPE
PR-0028-3,MPLADS-SYN-0028,2026-06-15,76,78,District Authority,SYNTHETIC_PROTOTYPE
PR-0029-1,MPLADS-SYN-0029,2026-08-17,15,22,District Authority,SYNTHETIC_PROTOTYPE
PR-0029-2,MPLADS-SYN-0029,2026-09-10,26,36,Field Officer,SYNTHETIC_PROTOTYPE
PR-0029-3,MPLADS-SYN-0029,2026-10-05,43,57,Field Officer,SYNTHETIC_PROTOTYPE
PR-0030-1,MPLADS-SYN-0030,2026-06-07,29,29,Field Officer,SYNTHETIC_PROTOTYPE
PR-0030-2,MPLADS-SYN-0030,2026-08-01,59,66,District Authority,SYNTHETIC_PROTOTYPE
PR-0030-3,MPLADS-SYN-0030,2026-09-27,97,100,Field Officer,SYNTHETIC_PROTOTYPE
PR-0031-1,MPLADS-SYN-0031,2026-08-05,8,27,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0031-2,MPLADS-SYN-0031,2026-09-05,27,47,District Authority,SYNTHETIC_PROTOTYPE
PR-0031-3,MPLADS-SYN-0031,2026-10-07,39,79,Field Officer,SYNTHETIC_PROTOTYPE
PR-0032-1,MPLADS-SYN-0032,2026-06-10,28,32,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0032-2,MPLADS-SYN-0032,2026-07-14,58,59,District Authority,SYNTHETIC_PROTOTYPE
PR-0032-3,MPLADS-SYN-0032,2026-08-19,87,94,District Authority,SYNTHETIC_PROTOTYPE
PR-0033-1,MPLADS-SYN-0033,2026-09-18,22,22,Field Officer,SYNTHETIC_PROTOTYPE
PR-0033-2,MPLADS-SYN-0033,2026-10-20,55,50,Field Officer,SYNTHETIC_PROTOTYPE
PR-0033-3,MPLADS-SYN-0033,2026-11-23,84,70,District Authority,SYNTHETIC_PROTOTYPE
PR-0034-1,MPLADS-SYN-0034,2026-08-23,10,26,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0034-2,MPLADS-SYN-0034,2026-11-06,27,48,District Authority,SYNTHETIC_PROTOTYPE
PR-0034-3,MPLADS-SYN-0034,2027-01-23,35,69,District Authority,SYNTHETIC_PROTOTYPE
PR-0035-1,MPLADS-SYN-0035,2026-06-25,18,22,District Authority,SYNTHETIC_PROTOTYPE
PR-0035-2,MPLADS-SYN-0035,2026-09-04,35,40,Field Officer,SYNTHETIC_PROTOTYPE
PR-0035-3,MPLADS-SYN-0035,2026-11-17,58,61,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0036-1,MPLADS-SYN-0036,2026-07-25,15,11,Field Officer,SYNTHETIC_PROTOTYPE
PR-0036-2,MPLADS-SYN-0036,2026-09-18,29,27,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0036-3,MPLADS-SYN-0036,2026-11-14,39,44,District Authority,SYNTHETIC_PROTOTYPE
PR-0037-1,MPLADS-SYN-0037,2026-05-24,12,22,Field Officer,SYNTHETIC_PROTOTYPE
PR-0037-2,MPLADS-SYN-0037,2026-06-25,34,41,Field Officer,SYNTHETIC_PROTOTYPE
PR-0037-3,MPLADS-SYN-0037,2026-07-28,42,59,District Authority,SYNTHETIC_PROTOTYPE
PR-0038-1,MPLADS-SYN-0038,2026-06-10,22,26,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0038-2,MPLADS-SYN-0038,2026-08-27,53,55,Field Officer,SYNTHETIC_PROTOTYPE
PR-0038-3,MPLADS-SYN-0038,2026-11-15,82,88,District Authority,SYNTHETIC_PROTOTYPE
PR-0039-1,MPLADS-SYN-0039,2026-08-28,20,19,Field Officer,SYNTHETIC_PROTOTYPE
PR-0039-2,MPLADS-SYN-0039,2026-10-23,39,44,District Authority,SYNTHETIC_PROTOTYPE
PR-0039-3,MPLADS-SYN-0039,2026-12-20,51,67,Field Officer,SYNTHETIC_PROTOTYPE
PR-0040-1,MPLADS-SYN-0040,2026-02-28,19,19,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0040-2,MPLADS-SYN-0040,2026-04-04,31,38,District Authority,SYNTHETIC_PROTOTYPE
PR-0040-3,MPLADS-SYN-0040,2026-05-11,49,66,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0041-1,MPLADS-SYN-0041,2026-03-20,14,11,District Authority,SYNTHETIC_PROTOTYPE
PR-0041-2,MPLADS-SYN-0041,2026-05-05,30,32,District Authority,SYNTHETIC_PROTOTYPE
PR-0041-3,MPLADS-SYN-0041,2026-06-22,39,47,Field Officer,SYNTHETIC_PROTOTYPE
PR-0042-1,MPLADS-SYN-0042,2026-05-20,3,7,Field Officer,SYNTHETIC_PROTOTYPE
PR-0042-2,MPLADS-SYN-0042,2026-08-03,13,17,Field Officer,SYNTHETIC_PROTOTYPE
PR-0042-3,MPLADS-SYN-0042,2026-10-20,18,26,Field Officer,SYNTHETIC_PROTOTYPE
PR-0043-1,MPLADS-SYN-0043,2026-09-15,22,25,Field Officer,SYNTHETIC_PROTOTYPE
PR-0043-2,MPLADS-SYN-0043,2026-10-27,50,47,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0043-3,MPLADS-SYN-0043,2026-12-10,78,77,District Authority,SYNTHETIC_PROTOTYPE
PR-0044-1,MPLADS-SYN-0044,2026-10-30,17,15,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0044-2,MPLADS-SYN-0044,2027-01-04,26,32,District Authority,SYNTHETIC_PROTOTYPE
PR-0044-3,MPLADS-SYN-0044,2027-03-13,45,39,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0045-1,MPLADS-SYN-0045,2026-10-29,23,22,Field Officer,SYNTHETIC_PROTOTYPE
PR-0045-2,MPLADS-SYN-0045,2027-01-04,39,41,Field Officer,SYNTHETIC_PROTOTYPE
PR-0045-3,MPLADS-SYN-0045,2027-03-15,64,67,Field Officer,SYNTHETIC_PROTOTYPE
PR-0046-1,MPLADS-SYN-0046,2026-10-05,27,31,District Authority,SYNTHETIC_PROTOTYPE
PR-0046-2,MPLADS-SYN-0046,2026-11-23,60,64,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0046-3,MPLADS-SYN-0046,2027-01-12,86,98,Field Officer,SYNTHETIC_PROTOTYPE
PR-0047-1,MPLADS-SYN-0047,2026-06-11,22,18,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0047-2,MPLADS-SYN-0047,2026-08-15,49,46,Field Officer,SYNTHETIC_PROTOTYPE
PR-0047-3,MPLADS-SYN-0047,2026-10-21,75,66,Field Officer,SYNTHETIC_PROTOTYPE
PR-0048-1,MPLADS-SYN-0048,2026-03-15,5,27,District Authority,SYNTHETIC_PROTOTYPE
PR-0048-2,MPLADS-SYN-0048,2026-05-15,13,59,District Authority,SYNTHETIC_PROTOTYPE
PR-0048-3,MPLADS-SYN-0048,2026-07-18,13,88,District Authority,SYNTHETIC_PROTOTYPE
PR-0049-1,MPLADS-SYN-0049,2026-06-25,16,11,District Authority,SYNTHETIC_PROTOTYPE
PR-0049-2,MPLADS-SYN-0049,2026-08-09,37,27,Field Officer,SYNTHETIC_PROTOTYPE
PR-0049-3,MPLADS-SYN-0049,2026-09-25,47,41,District Authority,SYNTHETIC_PROTOTYPE
PR-0050-1,MPLADS-SYN-0050,2026-04-22,17,22,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0050-2,MPLADS-SYN-0050,2026-06-08,47,40,District Authority,SYNTHETIC_PROTOTYPE
PR-0050-3,MPLADS-SYN-0050,2026-07-27,62,62,District Authority,SYNTHETIC_PROTOTYPE
PR-0051-1,MPLADS-SYN-0051,2026-08-08,11,24,Field Officer,SYNTHETIC_PROTOTYPE
PR-0051-2,MPLADS-SYN-0051,2026-09-03,13,48,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0051-3,MPLADS-SYN-0051,2026-10-01,22,83,Field Officer,SYNTHETIC_PROTOTYPE
PR-0052-1,MPLADS-SYN-0052,2026-08-28,15,27,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0052-2,MPLADS-SYN-0052,2026-11-06,35,52,Field Officer,SYNTHETIC_PROTOTYPE
PR-0052-3,MPLADS-SYN-0052,2027-01-18,50,86,District Authority,SYNTHETIC_PROTOTYPE
PR-0053-1,MPLADS-SYN-0053,2026-04-22,15,16,District Authority,SYNTHETIC_PROTOTYPE
PR-0053-2,MPLADS-SYN-0053,2026-06-01,34,30,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0053-3,MPLADS-SYN-0053,2026-07-13,62,49,District Authority,SYNTHETIC_PROTOTYPE
PR-0054-1,MPLADS-SYN-0054,2026-10-31,12,16,District Authority,SYNTHETIC_PROTOTYPE
PR-0054-2,MPLADS-SYN-0054,2027-01-14,29,26,Field Officer,SYNTHETIC_PROTOTYPE
PR-0054-3,MPLADS-SYN-0054,2027-04-01,40,44,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0055-1,MPLADS-SYN-0055,2026-02-08,8,10,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0055-2,MPLADS-SYN-0055,2026-03-02,22,29,District Authority,SYNTHETIC_PROTOTYPE
PR-0055-3,MPLADS-SYN-0055,2026-03-26,36,34,Field Officer,SYNTHETIC_PROTOTYPE
PR-0056-1,MPLADS-SYN-0056,2026-09-20,7,27,Field Officer,SYNTHETIC_PROTOTYPE
PR-0056-2,MPLADS-SYN-0056,2026-11-26,14,46,Field Officer,SYNTHETIC_PROTOTYPE
PR-0056-3,MPLADS-SYN-0056,2027-02-04,13,75,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0057-1,MPLADS-SYN-0057,2026-04-18,30,22,Field Officer,SYNTHETIC_PROTOTYPE
PR-0057-2,MPLADS-SYN-0057,2026-05-14,58,55,District Authority,SYNTHETIC_PROTOTYPE
PR-0057-3,MPLADS-SYN-0057,2026-06-11,87,81,Field Officer,SYNTHETIC_PROTOTYPE
PR-0058-1,MPLADS-SYN-0058,2026-02-28,16,20,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0058-2,MPLADS-SYN-0058,2026-03-27,42,30,Field Officer,SYNTHETIC_PROTOTYPE
PR-0058-3,MPLADS-SYN-0058,2026-04-24,61,47,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0059-1,MPLADS-SYN-0059,2026-08-01,20,18,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0059-2,MPLADS-SYN-0059,2026-09-18,37,36,District Authority,SYNTHETIC_PROTOTYPE
PR-0059-3,MPLADS-SYN-0059,2026-11-07,57,53,District Authority,SYNTHETIC_PROTOTYPE
PR-0060-1,MPLADS-SYN-0060,2026-10-11,9,11,Field Officer,SYNTHETIC_PROTOTYPE
PR-0060-2,MPLADS-SYN-0060,2026-12-03,25,23,Field Officer,SYNTHETIC_PROTOTYPE
PR-0060-3,MPLADS-SYN-0060,2027-01-28,33,40,District Authority,SYNTHETIC_PROTOTYPE
PR-0061-1,MPLADS-SYN-0061,2026-10-10,9,14,Field Officer,SYNTHETIC_PROTOTYPE
PR-0061-2,MPLADS-SYN-0061,2026-12-09,23,36,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0061-3,MPLADS-SYN-0061,2027-02-09,41,47,District Authority,SYNTHETIC_PROTOTYPE
PR-0062-1,MPLADS-SYN-0062,2026-08-11,14,24,District Authority,SYNTHETIC_PROTOTYPE
PR-0062-2,MPLADS-SYN-0062,2026-10-02,32,51,District Authority,SYNTHETIC_PROTOTYPE
PR-0062-3,MPLADS-SYN-0062,2026-11-26,51,78,District Authority,SYNTHETIC_PROTOTYPE
PR-0063-1,MPLADS-SYN-0063,2026-09-18,20,19,Field Officer,SYNTHETIC_PROTOTYPE
PR-0063-2,MPLADS-SYN-0063,2026-10-22,38,29,Field Officer,SYNTHETIC_PROTOTYPE
PR-0063-3,MPLADS-SYN-0063,2026-11-26,49,49,Field Officer,SYNTHETIC_PROTOTYPE
PR-0064-1,MPLADS-SYN-0064,2026-05-01,30,23,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0064-2,MPLADS-SYN-0064,2026-05-26,54,48,District Authority,SYNTHETIC_PROTOTYPE
PR-0064-3,MPLADS-SYN-0064,2026-06-21,78,77,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0065-1,MPLADS-SYN-0065,2026-08-31,24,21,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0065-2,MPLADS-SYN-0065,2026-10-26,43,54,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0065-3,MPLADS-SYN-0065,2026-12-23,67,76,District Authority,SYNTHETIC_PROTOTYPE
PR-0066-1,MPLADS-SYN-0066,2026-09-10,28,26,Field Officer,SYNTHETIC_PROTOTYPE
PR-0066-2,MPLADS-SYN-0066,2026-10-19,56,57,District Authority,SYNTHETIC_PROTOTYPE
PR-0066-3,MPLADS-SYN-0066,2026-11-29,92,89,Field Officer,SYNTHETIC_PROTOTYPE
PR-0067-1,MPLADS-SYN-0067,2026-08-10,24,22,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0067-2,MPLADS-SYN-0067,2026-10-27,51,54,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0067-3,MPLADS-SYN-0067,2027-01-16,72,82,Field Officer,SYNTHETIC_PROTOTYPE
PR-0068-1,MPLADS-SYN-0068,2026-04-26,24,25,Field Officer,SYNTHETIC_PROTOTYPE
PR-0068-2,MPLADS-SYN-0068,2026-05-21,38,42,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0068-3,MPLADS-SYN-0068,2026-06-16,61,61,Field Officer,SYNTHETIC_PROTOTYPE
PR-0069-1,MPLADS-SYN-0069,2026-06-22,19,23,Field Officer,SYNTHETIC_PROTOTYPE
PR-0069-2,MPLADS-SYN-0069,2026-07-22,34,37,District Authority,SYNTHETIC_PROTOTYPE
PR-0069-3,MPLADS-SYN-0069,2026-08-22,49,64,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0070-1,MPLADS-SYN-0070,2026-07-05,13,21,District Authority,SYNTHETIC_PROTOTYPE
PR-0070-2,MPLADS-SYN-0070,2026-07-31,32,37,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0070-3,MPLADS-SYN-0070,2026-08-27,53,58,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0071-1,MPLADS-SYN-0071,2026-06-14,28,20,Field Officer,SYNTHETIC_PROTOTYPE
PR-0071-2,MPLADS-SYN-0071,2026-08-14,47,51,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0071-3,MPLADS-SYN-0071,2026-10-16,79,69,Field Officer,SYNTHETIC_PROTOTYPE
PR-0072-1,MPLADS-SYN-0072,2026-05-30,6,17,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0072-2,MPLADS-SYN-0072,2026-07-15,12,32,District Authority,SYNTHETIC_PROTOTYPE
PR-0072-3,MPLADS-SYN-0072,2026-08-31,26,54,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0073-1,MPLADS-SYN-0073,2026-09-04,23,26,District Authority,SYNTHETIC_PROTOTYPE
PR-0073-2,MPLADS-SYN-0073,2026-10-08,54,51,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0073-3,MPLADS-SYN-0073,2026-11-13,77,81,District Authority,SYNTHETIC_PROTOTYPE
PR-0074-1,MPLADS-SYN-0074,2026-06-30,8,18,Field Officer,SYNTHETIC_PROTOTYPE
PR-0074-2,MPLADS-SYN-0074,2026-08-28,13,28,Field Officer,SYNTHETIC_PROTOTYPE
PR-0074-3,MPLADS-SYN-0074,2026-10-29,28,46,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0075-1,MPLADS-SYN-0075,2026-06-23,24,19,District Authority,SYNTHETIC_PROTOTYPE
PR-0075-2,MPLADS-SYN-0075,2026-07-14,44,46,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0075-3,MPLADS-SYN-0075,2026-08-06,66,71,Field Officer,SYNTHETIC_PROTOTYPE
PR-0076-1,MPLADS-SYN-0076,2026-03-28,21,28,District Authority,SYNTHETIC_PROTOTYPE
PR-0076-2,MPLADS-SYN-0076,2026-05-16,35,63,Field Officer,SYNTHETIC_PROTOTYPE
PR-0076-3,MPLADS-SYN-0076,2026-07-06,52,99,District Authority,SYNTHETIC_PROTOTYPE
PR-0077-1,MPLADS-SYN-0077,2026-03-23,4,22,Field Officer,SYNTHETIC_PROTOTYPE
PR-0077-2,MPLADS-SYN-0077,2026-05-11,14,43,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0077-3,MPLADS-SYN-0077,2026-06-30,21,60,District Authority,SYNTHETIC_PROTOTYPE
PR-0078-1,MPLADS-SYN-0078,2026-07-11,15,19,District Authority,SYNTHETIC_PROTOTYPE
PR-0078-2,MPLADS-SYN-0078,2026-09-08,41,39,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0078-3,MPLADS-SYN-0078,2026-11-09,58,56,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0079-1,MPLADS-SYN-0079,2026-03-25,30,30,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0079-2,MPLADS-SYN-0079,2026-06-01,64,62,Field Officer,SYNTHETIC_PROTOTYPE
PR-0079-3,MPLADS-SYN-0079,2026-08-11,97,98,Field Officer,SYNTHETIC_PROTOTYPE
PR-0080-1,MPLADS-SYN-0080,2026-04-12,16,30,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0080-2,MPLADS-SYN-0080,2026-06-18,25,54,District Authority,SYNTHETIC_PROTOTYPE
PR-0080-3,MPLADS-SYN-0080,2026-08-27,39,85,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0081-1,MPLADS-SYN-0081,2026-04-17,19,19,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0081-2,MPLADS-SYN-0081,2026-06-02,49,36,District Authority,SYNTHETIC_PROTOTYPE
PR-0081-3,MPLADS-SYN-0081,2026-07-20,70,61,District Authority,SYNTHETIC_PROTOTYPE
PR-0082-1,MPLADS-SYN-0082,2026-02-15,30,30,District Authority,SYNTHETIC_PROTOTYPE
PR-0082-2,MPLADS-SYN-0082,2026-03-18,59,56,Implementing Agency,SYNTHETIC_PROTOTYPE
PR-0082-3,MPLADS-SYN-0082,2026-04-19,89,85,Field Officer,SYNTHETIC_PROTOTYPE
PR-0083-1,MPLADS-SYN-0083,2026-07-03,22,17,Field Officer,SYNTHETIC_PROTOTYPE
PR-0083-2,MPLADS-SYN-0083,2026-08-27,50,28,Field Officer,SYNTHETIC_PROTOTYPE
