contract_id,project_id,tender_id,implementing_agency_id,contractor_id,contract_amount,contract_start_date,contract_end_date,contract_status
CTR-00058,MPLADS-SYN-0135,TND-00135,IA-002,CON-003,1230955.98,2026-05-15,2027-02-15,Active
CTR-00059,MPLADS-SYN-0136,TND-00136,IA-001,CON-004,499447.14,2026-02-10,2026-10-31,Active
CTR-00060,MPLADS-SYN-0141,TND-00141,IA-006,CON-003,1625205.36,2026-04-30,2027-01-25,Active
CTR-00061,MPLADS-SYN-0142,TND-00142,IA-003,CON-001,2501786.63,2025-12-30,2026-11-08,Delayed
CTR-00062,MPLADS-SYN-0145,TND-00145,IA-005,CON-005,1606424.84,2026-02-12,2026-09-10,Active
CTR-00063,MPLADS-SYN-0147,TND-00147,IA-006,CON-001,636134.05,2026-04-04,2026-12-18,Delayed
CTR-00064,MPLADS-SYN-0149,TND-00149,IA-004,CON-001,1373073.95,2026-02-17,2026-09-22,Active
CTR-00065,MPLADS-SYN-0150,TND-00150,IA-006,CON-007,536427.31,2026-05-08,2027-02-05,Active
CTR-00066,MPLADS-SYN-0151,TND-00151,IA-005,CON-004,620830.39,2026-06-11,2027-02-07,Completed
CTR-00067,MPLADS-SYN-0154,TND-00154,IA-004,CON-001,2228669.63,2026-04-19,2026-12-01,Delayed
CTR-00068,MPLADS-SYN-0157,TND-00157,IA-004,CON-005,1462920.68,2026-07-27,2027-06-01,Active
CTR-00069,MPLADS-SYN-0158,TND-00158,IA-006,CON-006,814404.61,2026-09-02,2027-09-26,Delayed
CTR-00070,MPLADS-SYN-0159,TND-00159,IA-005,CON-005,3011111.95,2026-06-03,2027-05-12,Completed
CTR-00071,MPLADS-SYN-0161,TND-00161,IA-006,CON-004,3470273.71,2026-07-08,2026-11-24,Delayed
CTR-00072,MPLADS-SYN-0163,TND-00163,IA-005,CON-006,1789156.6,2026-04-18,2027-02-17,Completed
CTR-00073,MPLADS-SYN-0165,TND-00165,IA-003,CON-003,837705.77,2026-07-24,2027-02-18,Completed
CTR-00074,MPLADS-SYN-0169,TND-00169,IA-004,CON-003,607618.69,2026-02-02,2026-10-07,Active
CTR-00075,MPLADS-SYN-0172,TND-00172,IA-005,CON-001,2083239.93,2026-02-08,2026-12-21,Active
CTR-00076,MPLADS-SYN-0174,TND-00174,IA-002,CON-005,320643.56,2026-03-15,2027-04-22,Completed
CTR-00077,MPLADS-SYN-0175,TND-00175,IA-001,CON-004,1901250.65,2026-07-29,2027-05-20,Active
CTR-00078,MPLADS-SYN-0176,TND-00176,IA-002,CON-002,1880085.04,2025-12-17,2026-12-02,Completed
CTR-00079,MPLADS-SYN-0178,TND-00178,IA-005,CON-005,384253.9,2026-06-15,2027-01-25,Completed
CTR-00080,MPLADS-SYN-0182,TND-00182,IA-001,CON-002,690475.05,2026-04-18,2026-08-27,Completed
CTR-00081,MPLADS-SYN-0185,TND-00185,IA-001,CON-007,1313474.41,2026-05-15,2026-12-04,Completed
CTR-00082,MPLADS-SYN-0186,TND-00186,IA-004,CON-005,1217531.84,2026-08-13,2027-04-29,Delayed
CTR-00083,MPLADS-SYN-0188,TND-00188,IA-007,CON-001,1370869.79,2026-08-12,2026-12-14,Active
CTR-00084,MPLADS-SYN-0189,TND-00189,IA-004,CON-005,1047950.46,2026-03-01,2027-04-16,Delayed
CTR-00085,MPLADS-SYN-0191,TND-00191,IA-004,CON-003,1147681.38,2026-01-02,2026-12-04,Completed
CTR-00086,MPLADS-SYN-0193,TND-00193,IA-006,CON-003,752652.76,2026-03-21,2027-01-02,Active
CTR-00087,MPLADS-SYN-0196,TND-00196,IA-006,CON-005,1711461.41,2026-03-02,2026-12-12,Active
CTR-00088,MPLADS-SYN-0202,TND-00202,IA-002,CON-004,971286.58,2026-01-08,2027-01-03,Delayed
CTR-00089,MPLADS-SYN-0203,TND-00203,IA-004,CON-004,3987171.31,2026-05-16,2027-02-28,Active
CTR-00090,MPLADS-SYN-0204,TND-00204,IA-001,CON-004,669004.61,2025-11-26,2026-08-05,Delayed
CTR-00091,MPLADS-SYN-0205,TND-00205,IA-004,CON-006,4016543.49,2026-02-09,2026-08-11,Active
CTR-00092,MPLADS-SYN-0208,TND-00208,IA-002,CON-002,2061924.59,2026-02-19,2026-06-21,Active
CTR-00093,MPLADS-SYN-0209,TND-00209,IA-004,CON-002,1859189.64,2026-03-06,2026-12-25,Completed
CTR-00094,MPLADS-SYN-0210,TND-00210,IA-005,CON-005,2235251.48,2026-03-05,2026-09-10,Delayed
CTR-00095,MPLADS-SYN-0213,TND-00213,IA-007,CON-007,2644680.8,2026-06-16,2027-01-30,Completed
CTR-00096,MPLADS-SYN-0217,TND-00217,IA-001,CON-003,1004210.35,2026-07-27,2027-04-18,Delayed
CTR-00097,MPLADS-SYN-0220,TND-00220,IA-006,CON-007,2239202.17,2026-03-19,2027-01-26,Delayed
CTR-00098,MPLADS-SYN-0221,TND-00221,IA-006,CON-007,438188.81,2026-04-18,2027-03-24,Delayed
CTR-00099,MPLADS-SYN-0222,TND-00222,IA-003,CON-007,2329764.88,2026-06-04,2027-07-04,Completed
CTR-00100,MPLADS-SYN-0223,TND-00223,IA-007,CON-001,1109160.98,2026-03-29,2027-03-17,Active
CTR-00101,MPLADS-SYN-0224,TND-00224,IA-007,CON-005,916039.88,2026-02-07,2027-01-02,Active
CTR-00102,MPLADS-SYN-0226,TND-00226,IA-001,CON-006,3045066.5,2026-03-04,2027-02-21,Active
CTR-00103,MPLADS-SYN-0227,TND-00227,IA-002,CON-006,2032887.28,2026-01-22,2026-12-29,Active
CTR-00104,MPLADS-SYN-0228,TND-00228,IA-007,CON-001,1117518.33,2026-05-25,2026-11-04,Completed
CTR-00105,MPLADS-SYN-0230,TND-00230,IA-004,CON-004,766396.81,2026-02-01,2027-01-12,Active
CTR-00106,MPLADS-SYN-0234,TND-00234,IA-004,CON-004,891511.14,2026-05-28,2026-11-05,Active
CTR-00107,MPLADS-SYN-0235,TND-00235,IA-006,CON-007,1703931.6,2026-07-23,2027-03-10,Completed
CTR-00108,MPLADS-SYN-0236,TND-00236,IA-006,CON-001,794897.57,2026-04-29,2027-04-13,Active
CTR-00109,MPLADS-SYN-0237,TND-00237,IA-002,CON-005,1058027.49,2026-03-31,2027-01-17,Delayed
CTR-00110,MPLADS-SYN-0240,TND-00240,IA-001,CON-006,461708.53,2026-01-18,2027-01-18,Completed
CTR-00111,MPLADS-SYN-0241,TND-00241,IA-006,CON-006,1452398.23,2026-01-27,2026-12-27,Delayed
CTR-00112,MPLADS-SYN-0244,TND-00244,IA-003,CON-001,720090.14,2026-07-14,2027-04-26,Active
CTR-00113,MPLADS-SYN-0245,TND-00245,IA-002,CON-001,2635822.64,2026-02-20,2026-12-10,Active
CTR-00114,MPLADS-SYN-0247,TND-00247,IA-005,CON-002,441501.55,2026-03-16,2027-04-17,Delayed
CTR-00115,MPLADS-SYN-0249,TND-00249,IA-002,CON-004,409088.5,2026-04-15,2026-08-23,Active
CTR-00116,MPLADS-SYN-0250,TND-00250,IA-003,CON-007,225491.66,2026-06-07,2027-04-19,Delayed
CTR-00117,MPLADS-SYN-0251,TND-00251,IA-007,CON-003,3092821.38,2026-02-19,2026-11-15,Completed
CTR-00118,MPLADS-SYN-0254,TND-00254,IA-006,CON-003,2488851.08,2026-07-16,2027-08-28,Active
CTR-00119,MPLADS-SYN-0255,TND-00255,IA-006,CON-007,908951.17,2026-07-11,2027-02-20,Completed
CTR-00120,MPLADS-SYN-0257,TND-00257,IA-004,CON-004,1386287.25,2026-04-13,2026-11-25,Completed
CTR-00121,MPLADS-SYN-0261,TND-00261,IA-006,CON-004,751883.58,2026-01-25,2027-01-02,Completed
CTR-00122,MPLADS-SYN-0265,TND-00265,IA-001,CON-006,983593.48,2026-02-05,2026-06-14,Completed
CTR-00123,MPLADS-SYN-0266,TND-00266,IA-004,CON-004,532076.01,2026-01-06,2026-10-18,Active
CTR-00124,MPLADS-SYN-0267,TND-00267,IA-004,CON-006,1173726.87,2026-08-08,2027-05-26,Delayed
CTR-00125,MPLADS-SYN-0268,TND-00268,IA-005,CON-001,1713381.9,2026-02-08,2027-01-03,Active
CTR-00126,MPLADS-SYN-0270,TND-00270,IA-006,CON-004,1843894.51,2026-05-09,2027-05-12,Completed
CTR-00127,MPLADS-SYN-0271,TND-00271,IA-001,CON-006,2828568.57,2026-04-25,2027-01-29,Active
CTR-00128,MPLADS-SYN-0274,TND-00274,IA-004,CON-002,452142.47,2026-07-20,2027-01-25,Completed
CTR-00129,MPLADS-SYN-0277,TND-00277,IA-005,CON-002,848317.71,2026-03-28,2026-10-25,Delayed
CTR-00130,MPLADS-SYN-0280,TND-00280,IA-005,CON-006,1304341.63,2026-05-23,2026-10-26,Delayed
CTR-00131,MPLADS-SYN-0282,TND-00282,IA-004,CON-001,904191.31,2026-06-10,2027-07-09,Active
CTR-00132,MPLADS-SYN-0283,TND-00283,IA-004,CON-004,2282130.53,2026-03-09,2026-12-23,Delayed
CTR-00133,MPLADS-SYN-0284,TND-00284,IA-006,CON-005,2511207.89,2026-05-03,2026-11-02,Completed
CTR-00134,MPLADS-SYN-0286,TND-00286,IA-003,CON-006,2342897.7,2026-08-25,2027-01-09,Active
CTR-00135,MPLADS-SYN-0288,TND-00288,IA-003,CON-003,1934264.48,2026-07-26,2027-05-11,Active
CTR-00136,MPLADS-SYN-0289,TND-00289,IA-003,CON-002,1046851.65,2026-06-12,2027-02-10,Completed
CTR-00137,MPLADS-SYN-0293,TND-00293,IA-003,CON-004,970759.69,2026-05-24,2027-05-30,Delayed
CTR-00138,MPLADS-SYN-0296,TND-00296,IA-006,CON-002,1785775.48,2026-07-15,2027-02-08,Delayed
CTR-00139,MPLADS-SYN-0297,TND-00297,IA-005,CON-003,983980.93,2026-07-30,2027-04-30,Active
CTR-00140,MPLADS-SYN-0298,TND-00298,IA-001,CON-005,1322674.76,2026-07-25,2027-06-20,Active
CTR-00141,MPLADS-SYN-0300,TND-00300,IA-007,CON-004,2202777.53,2026-06-04,2027-06-23,Completed
CTR-00142,MPLADS-SYN-0301,TND-00301,IA-007,CON-001,1809928.39,2026-04-14,2027-06-01,Active
CTR-00143,MPLADS-SYN-0302,TND-00302,IA-005,CON-004,565219.64,2026-03-22,2027-02-13,Active
CTR-00144,MPLADS-SYN-0305,TND-00305,IA-001,CON-001,1481213.05,2026-02-22,2027-01-05,Active
CTR-00145,MPLADS-SYN-0307,TND-00307,IA-004,CON-002,303283.51,2026-06-01,2027-03-13,Completed
CTR-00146,MPLADS-SYN-0308,TND-00308,IA-004,CON-001,2782963.6,2026-04-07,2026-11-26,Active
CTR-00147,MPLADS-SYN-0309,TND-00309,IA-005,CON-007,3892345.51,2026-08-17,2027-01-27,Active
CTR-00148,MPLADS-SYN-0310,TND-00310,IA-005,CON-001,2000328.79,2026-01-25,2026-07-04,Active
CTR-00149,MPLADS-SYN-0311,TND-00311,IA-003,CON-002,1530946.21,2026-07-10,2027-06-19,Delayed
CTR-00150,MPLADS-SYN-0312,TND-00312,IA-006,CON-004,432018.1,2026-02-11,2026-11-28,Active
CTR-00151,MPLADS-SYN-0313,TND-00313,IA-005,CON-002,1640606.46,2026-03-31,2026-11-12,Active
CTR-00152,MPLADS-SYN-0314,TND-00314,IA-007,CON-006,291682.71,2026-07-19,2027-04-15,Completed
CTR-00153,MPLADS-SYN-0316,TND-00316,IA-007,CON-002,1098175.47,2026-02-24,2026-09-07,Delayed
CTR-00154,MPLADS-SYN-0317,TND-00317,IA-003,CON-001,322254.18,2026-02-21,2027-02-11,Completed
CTR-00155,MPLADS-SYN-0318,TND-00318,IA-001,CON-003,1006159.69,2026-08-01,2027-08-24,Delayed
CTR-00156,MPLADS-SYN-0319,TND-00319,IA-004,CON-007,2046510.59,2026-04-02,2027-03-31,Active
CTR-00157,MPLADS-SYN-0320,TND-00320,IA-006,CON-002,238664.5,2026-07-12,2027-02-27,Delayed
CTR-00158,MPLADS-SYN-0322,TND-00322,IA-007,CON-003,3283709.19,2026-03-30,2027-01-11,Delayed
CTR-00159,MPLADS-SYN-0329,TND-00329,IA-006,CON-007,1987908.22,2026-05-20,2026-12-01,Active
CTR-00160,MPLADS-SYN-0330,TND-00330,IA-002,CON-004,1082745.72,2026-02-17,2026-09-24,Delayed
CTR-00161,MPLADS-SYN-0332,TND-00332,IA-001,CON-003,1187480.06,2026-03-17,2026-11-02,Completed
CTR-00162,MPLADS-SYN-0333,TND-00333,IA-002,CON-006,1542317.97,2026-05-22,2027-02-21,Completed
CTR-00163,MPLADS-SYN-0339,TND-00339,IA-005,CON-004,800518.77,2026-04-09,2026-11-23,Completed
CTR-00164,MPLADS-SYN-0340,TND-00340,IA-001,CON-005,284991.27,2025-12-29,2026-11-20,Delayed
CTR-00165,MPLADS-SYN-0342,TND-00342,IA-001,CON-001,1763558.15,2026-02-15,2026-10-18,Active
CTR-00166,MPLADS-SYN-0343,TND-00343,IA-007,CON-003,334184.88,2026-01-30,2026-07-22,Active
CTR-00167,MPLADS-SYN-0346,TND-00346,IA-005,CON-001,678275.12,2026-07-22,2027-02-04,Active
CTR-00168,MPLADS-SYN-0347,TND-00347,IA-004,CON-001,1039103.08,2025-12-16,2026-08-06,Completed
CTR-00169,MPLADS-SYN-0350,TND-00350,IA-007,CON-007,3411685.92,2026-06-20,2027-05-31,Delayed
CTR-00170,MPLADS-SYN-0353,TND-00353,IA-004,CON-007,966607.1,2026-06-13,2026-11-25,Delayed
CTR-00171,MPLADS-SYN-0355,TND-00355,IA-001,CON-007,1354558.08,2026-02-01,2026-06-25,Delayed
CTR-00172,MPLADS-SYN-0358,TND-00358,IA-005,CON-005,1268827.79,2026-06-17,2027-02-04,Active
CTR-00173,MPLADS-SYN-0361,TND-00361,IA-002,CON-001,3033050.59,2026-05-02,2027-04-15,Completed
CTR-00174,MPLADS-SYN-0362,TND-00362,IA-006,CON-004,2202623.84,2026-07-08,2027-03-28,Completed
CTR-00175,MPLADS-SYN-0366,TND-00366,IA-007,CON-002,3328315.8,2026-05-14,2027-05-05,Delayed
CTR-00176,MPLADS-SYN-0370,TND-00370,IA-001,CON-007,1420051.64,2026-01-29,2027-01-03,Active
CTR-00177,MPLADS-SYN-0372,TND-00372,IA-002,CON-004,1164291.01,2026-03-18,2027-02-12,Active
CTR-00178,MPLADS-SYN-0373,TND-00373,IA-007,CON-005,1583678.34,2026-03-20,2027-02-01,Active
CTR-00179,MPLADS-SYN-0376,TND-00376,IA-007,CON-006,1359730.64,2026-04-14,2027-02-28,Delayed
CTR-00180,MPLADS-SYN-0377,TND-00377,IA-005,CON-001,775393.66,2026-03-21,2027-04-20,Completed
CTR-00181,MPLADS-SYN-0379,TND-00379,IA-001,CON-003,361802.58,2026-04-28,2026-09-16,Delayed
CTR-00182,MPLADS-SYN-0381,TND-00381,IA-002,CON-003,2745176.81,2026-07-06,2027-07-14,Completed
CTR-00183,MPLADS-SYN-0382,TND-00382,IA-001,CON-001,2016213.98,2026-09-08,2027-09-16,Completed
CTR-00184,MPLADS-SYN-0383,TND-00383,IA-002,CON-006,608129.99,2026-05-31,2027-02-14,Completed
CTR-00185,MPLADS-SYN-0384,TND-00384,IA-005,CON-002,2443107.0,2026-07-29,2027-03-28,Completed
CTR-00186,MPLADS-SYN-0385,TND-00385,IA-001,CON-001,1043272.03,2026-01-27,2027-02-08,Completed
CTR-00187,MPLADS-SYN-0388,TND-00388,IA-005,CON-003,1877487.81,2026-01-18,2026-07-27,Completed
CTR-00188,MPLADS-SYN-0389,TND-00389,IA-006,CON-005,4286810.89,2026-03-15,2026-10-18,Delayed
CTR-00189,MPLADS-SYN-0391,TND-00391,IA-005,CON-006,1732626.09,2025-12-19,2026-12-09,Completed
CTR-00190,MPLADS-SYN-0392,TND-00392,IA-007,CON-006,1278306.78,2026-02-28,2026-07-12,Active
CTR-00191,MPLADS-SYN-0393,TND-00393,IA-001,CON-007,2103317.3,2025-12-21,2026-12-19,Delayed
CTR-00192,MPLADS-SYN-0398,TND-00398,IA-005,CON-004,902477.86,2026-05-04,2027-04-27,Delayed
CTR-00193,MPLADS-SYN-0404,TND-00404,IA-005,CON-001,3465847.11,2026-05-27,2027-07-06,Delayed
CTR-00194,MPLADS-SYN-0406,TND-00406,IA-002,CON-001,1661439.83,2026-03-28,2026-12-17,Active
CTR-00195,MPLADS-SYN-0407,TND-00407,IA-007,CON-002,440083.01,2026-03-01,2026-11-11,Active
CTR-00196,MPLADS-SYN-0410,TND-00410,IA-002,CON-007,1758398.09,2026-06-15,2026-10-24,Delayed
CTR-00197,MPLADS-SYN-0412,TND-00412,IA-006,CON-001,1740941.11,2026-02-11,2027-01-12,Delayed
CTR-00198,MPLADS-SYN-0414,TND-00414,IA-002,CON-005,2246040.12,2026-05-15,2027-03-12,Active
CTR-00199,MPLADS-SYN-0415,TND-00415,IA-004,CON-007,2123730.38,2026-07-24,2027-04-27,Delayed
CTR-00200,MPLADS-SYN-0416,TND-00416,IA-006,CON-001,2077795.58,2026-07-23,2027-05-18,Active
CTR-00201,MPLADS-SYN-0417,TND-00417,IA-001,CON-006,1168840.21,2026-01-31,2026-10-30,Active
CTR-00202,MPLADS-SYN-0418,TND-00418,IA-001,CON-004,2464049.03,2026-09-05,2027-02-10,Completed
CTR-00203,MPLADS-SYN-0419,TND-00419,IA-004,CON-006,3265891.79,2026-04-23,2027-04-19,Active
CTR-00204,MPLADS-SYN-0422,TND-00422,IA-004,CON-003,2258208.81,2026-06-09,2027-01-21,Active
CTR-00205,MPLADS-SYN-0424,TND-00424,IA-007,CON-001,1507134.2,2026-02-21,2026-07-20,Active
CTR-00206,MPLADS-SYN-0425,TND-00425,IA-004,CON-003,1273742.27,2025-12-11,2026-05-03,Completed
CTR-00207,MPLADS-SYN-0426,TND-00426,IA-006,CON-002,1465110.56,2026-02-19,2026-07-06,Delayed
CTR-00208,MPLADS-SYN-0427,TND-00427,IA-005,CON-003,4182804.02,2026-09-06,2027-07-13,Delayed
CTR-00209,MPLADS-SYN-0428,TND-00428,IA-005,CON-006,1550127.15,2025-12-12,2026-10-10,Active
CTR-00210,MPLADS-SYN-0430,TND-00430,IA-007,CON-001,1190502.77,2026-06-20,2027-02-18,Completed
CTR-00211,MPLADS-SYN-0431,TND-00431,IA-004,CON-002,354742.93,2026-01-17,2026-09-28,Completed
CTR-00212,MPLADS-SYN-0434,TND-00434,IA-005,CON-007,643202.82,2026-08-07,2027-04-09,Completed
CTR-00213,MPLADS-SYN-0439,TND-00439,IA-007,CON-001,561978.02,2026-06-24,2027-05-26,Completed
CTR-00214,MPLADS-SYN-0440,TND-00440,IA-005,CON-001,997039.36,2025-12-20,2026-08-22,Completed
CTR-00215,MPLADS-SYN-0441,TND-00441,IA-004,CON-004,953221.78,2026-04-08,2026-11-06,Active
CTR-00216,MPLADS-SYN-0446,TND-00446,IA-004,CON-002,612969.29,2026-08-22,2027-02-24,Delayed
CTR-00217,MPLADS-SYN-0447,TND-00447,IA-002,CON-006,481230.49,2026-02-25,2027-01-31,Active
CTR-00218,MPLADS-SYN-0449,TND-00449,IA-001,CON-005,1227325.38,2025-12-24,2026-04-29,Active
CTR-00219,MPLADS-SYN-0450,TND-00450,IA-001,CON-004,1311832.29,2026-07-17,2027-03-27,Delayed
CTR-00220,MPLADS-SYN-0452,TND-00452,IA-003,CON-003,1436259.68,2026-08-13,2026-12-25,Active
CTR-00221,MPLADS-SYN-0454,TND-00454,IA-001,CON-007,2036364.78,2026-08-01,2027-01-03,Active
CTR-00222,MPLADS-SYN-0455,TND-00455,IA-004,CON-002,1491963.97,2026-03-04,2026-11-04,Completed
CTR-00223,MPLADS-SYN-0457,TND-00457,IA-005,CON-004,985685.17,2026-06-04,2027-07-28,Completed
CTR-00224,MPLADS-SYN-0459,TND-00459,IA-001,CON-005,1335026.73,2026-06-24,2027-05-25,Active
CTR-00225,MPLADS-SYN-0462,TND-00462,IA-006,CON-001,975383.8,2026-02-01,2026-07-11,Delayed
CTR-00226,MPLADS-SYN-0464,TND-00464,IA-002,CON-003,1680201.34,2026-05-06,2027-02-10,Active
CTR-00227,MPLADS-SYN-0465,TND-00465,IA-005,CON-006,1050267.05,2026-09-05,2027-02-16,Active
CTR-00228,MPLADS-SYN-0466,TND-00466,IA-004,CON-003,1448214.62,2026-05-25,2027-03-03,Active
CTR-00229,MPLADS-SYN-0468,TND-00468,IA-001,CON-006,1512080.52,2026-07-20,2027-07-04,Completed
CTR-00230,MPLADS-SYN-0469,TND-00469,IA-002,CON-002,2108270.59,2026-02-17,2027-01-08,Delayed
CTR-00231,MPLADS-SYN-0470,TND-00470,IA-005,CON-004,1162214.33,2026-03-21,2026-08-27,Completed
CTR-00232,MPLADS-SYN-0471,TND-00471,IA-004,CON-002,935282.96,2026-08-13,2027-05-16,Delayed
CTR-00233,MPLADS-SYN-0479,TND-00479,IA-006,CON-007,755275.11,2025-12-28,2026-12-12,Delayed
